f_i,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
f10_i1,ELA0_7,ELA1_7,ELA2_7,ELA3_7,ELA4_6,ELA5_6,ELA6_7,ELA7_7,ELA8_2,ELA9_0,ELA10_7,ELA11_6,ELA12_1,ELA13_2,ELA14_2,ELA15_2,ELA16_2,ELA17_2,ELA18_2,ELA19_2,ELA20_4,ELA21_0,ELA22_6,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_8,ELA28_1,ELA29_7,ELA30_6,ELA31_6,ELA32_5,ELA33_4,ELA34_7,ELA35_0,ELA36_9,ELA37_7,ELA38_7,ELA39_7,ELA40_7,ELA41_6,ELA42_6,ELA43_7,ELA44_7,ELA45_3
f10_i2,ELA0_6,ELA1_7,ELA2_7,ELA3_6,ELA4_6,ELA5_6,ELA6_7,ELA7_6,ELA8_2,ELA9_0,ELA10_7,ELA11_6,ELA12_0,ELA13_0,ELA14_1,ELA15_0,ELA16_0,ELA17_0,ELA18_1,ELA19_0,ELA20_4,ELA21_0,ELA22_6,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_9,ELA28_1,ELA29_7,ELA30_6,ELA31_6,ELA32_5,ELA33_5,ELA34_7,ELA35_0,ELA36_9,ELA37_6,ELA38_7,ELA39_7,ELA40_6,ELA41_6,ELA42_6,ELA43_7,ELA44_6,ELA45_2
f10_i3,ELA0_7,ELA1_7,ELA2_7,ELA3_7,ELA4_7,ELA5_7,ELA6_7,ELA7_7,ELA8_2,ELA9_0,ELA10_7,ELA11_6,ELA12_7,ELA13_8,ELA14_7,ELA15_7,ELA16_8,ELA17_8,ELA18_7,ELA19_7,ELA20_5,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_3,ELA28_2,ELA29_5,ELA30_5,ELA31_7,ELA32_5,ELA33_5,ELA34_4,ELA35_0,ELA36_9,ELA37_7,ELA38_7,ELA39_7,ELA40_7,ELA41_7,ELA42_7,ELA43_7,ELA44_7,ELA45_3
f10_i4,ELA0_3,ELA1_4,ELA2_4,ELA3_5,ELA4_2,ELA5_3,ELA6_3,ELA7_4,ELA8_2,ELA9_1,ELA10_8,ELA11_7,ELA12_0,ELA13_0,ELA14_1,ELA15_0,ELA16_0,ELA17_0,ELA18_1,ELA19_1,ELA20_4,ELA21_0,ELA22_8,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_9,ELA28_0,ELA29_7,ELA30_7,ELA31_7,ELA32_6,ELA33_4,ELA34_8,ELA35_0,ELA36_9,ELA37_3,ELA38_4,ELA39_4,ELA40_5,ELA41_2,ELA42_3,ELA43_3,ELA44_4,ELA45_2
f10_i5,ELA0_5,ELA1_5,ELA2_5,ELA3_4,ELA4_5,ELA5_5,ELA6_5,ELA7_4,ELA8_2,ELA9_1,ELA10_7,ELA11_7,ELA12_1,ELA13_1,ELA14_0,ELA15_0,ELA16_2,ELA17_1,ELA18_0,ELA19_0,ELA20_4,ELA21_0,ELA22_7,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_9,ELA28_1,ELA29_8,ELA30_7,ELA31_6,ELA32_5,ELA33_5,ELA34_8,ELA35_0,ELA36_9,ELA37_5,ELA38_5,ELA39_5,ELA40_4,ELA41_5,ELA42_5,ELA43_5,ELA44_4,ELA45_2
f11_i1,ELA0_7,ELA1_7,ELA2_7,ELA3_6,ELA4_7,ELA5_7,ELA6_7,ELA7_6,ELA8_3,ELA9_0,ELA10_7,ELA11_6,ELA12_0,ELA13_0,ELA14_0,ELA15_0,ELA16_0,ELA17_0,ELA18_0,ELA19_0,ELA20_4,ELA21_0,ELA22_6,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_8,ELA28_1,ELA29_7,ELA30_5,ELA31_5,ELA32_4,ELA33_6,ELA34_8,ELA35_0,ELA36_9,ELA37_7,ELA38_7,ELA39_7,ELA40_6,ELA41_7,ELA42_7,ELA43_7,ELA44_6,ELA45_2
f11_i2,ELA0_7,ELA1_7,ELA2_6,ELA3_6,ELA4_7,ELA5_6,ELA6_6,ELA7_6,ELA8_3,ELA9_0,ELA10_7,ELA11_6,ELA12_1,ELA13_1,ELA14_1,ELA15_1,ELA16_1,ELA17_1,ELA18_1,ELA19_1,ELA20_4,ELA21_0,ELA22_4,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_8,ELA28_2,ELA29_6,ELA30_4,ELA31_5,ELA32_3,ELA33_5,ELA34_5,ELA35_0,ELA36_9,ELA37_7,ELA38_7,ELA39_6,ELA40_6,ELA41_7,ELA42_6,ELA43_6,ELA44_6,ELA45_3
f11_i3,ELA0_8,ELA1_8,ELA2_7,ELA3_7,ELA4_8,ELA5_8,ELA6_7,ELA7_7,ELA8_4,ELA9_0,ELA10_7,ELA11_6,ELA12_2,ELA13_2,ELA14_2,ELA15_2,ELA16_3,ELA17_2,ELA18_3,ELA19_2,ELA20_4,ELA21_0,ELA22_6,ELA23_0,ELA24_2,ELA25_0,ELA26_0,ELA27_9,ELA28_1,ELA29_7,ELA30_4,ELA31_5,ELA32_3,ELA33_5,ELA34_7,ELA35_0,ELA36_9,ELA37_8,ELA38_8,ELA39_7,ELA40_7,ELA41_8,ELA42_8,ELA43_7,ELA44_7,ELA45_2
f11_i4,ELA0_8,ELA1_8,ELA2_8,ELA3_8,ELA4_8,ELA5_8,ELA6_8,ELA7_8,ELA8_3,ELA9_0,ELA10_7,ELA11_6,ELA12_3,ELA13_4,ELA14_4,ELA15_4,ELA16_4,ELA17_5,ELA18_4,ELA19_5,ELA20_4,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_7,ELA28_2,ELA29_6,ELA30_3,ELA31_5,ELA32_3,ELA33_5,ELA34_2,ELA35_0,ELA36_9,ELA37_8,ELA38_8,ELA39_8,ELA40_8,ELA41_8,ELA42_8,ELA43_8,ELA44_8,ELA45_3
f11_i5,ELA0_8,ELA1_8,ELA2_8,ELA3_8,ELA4_8,ELA5_8,ELA6_8,ELA7_8,ELA8_3,ELA9_0,ELA10_7,ELA11_6,ELA12_1,ELA13_2,ELA14_2,ELA15_2,ELA16_1,ELA17_2,ELA18_2,ELA19_1,ELA20_4,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_5,ELA28_1,ELA29_5,ELA30_4,ELA31_5,ELA32_4,ELA33_3,ELA34_6,ELA35_0,ELA36_9,ELA37_8,ELA38_8,ELA39_8,ELA40_8,ELA41_8,ELA42_8,ELA43_8,ELA44_8,ELA45_2
