gmean = 0.8612486590945716, f1 = 0.9132617898985921, acc = 0.8867026748971193, k = 200, loss = nll, lr = 0.0001
gmean = 0.8117579537740254, f1 = 0.8645685279187818, acc = 0.8284465020576132, k = 150, loss = nll, lr = 0.001
gmean = 0.7835817217200842, f1 = 0.8460449119967631, acc = 0.8042695473251029, k = 200, loss = self_adversarial, lr = 0.001
gmean = 0.8147957492352715, f1 = 0.8655196986663951, acc = 0.8301183127572016, k = 200, loss = nll, lr = 0.001
gmean = 0.8792757336375504, f1 = 0.9137581168831168, acc = 0.8906893004115226, k = 200, loss = pairwise, lr = 0.001
gmean = 0.8607175767751675, f1 = 0.9118721010559557, acc = 0.8851594650205762, k = 150, loss = nll, lr = 0.0001
gmean = 0.8597090753937743, f1 = 0.9127912692950546, acc = 0.8859310699588477, k = 200, loss = pairwise, lr = 0.0001
gmean = 0.8621530412987882, f1 = 0.9121107266435986, acc = 0.8856738683127572, k = 200, loss = self_adversarial, lr = 0.0001
gmean = 0.8036949287905053, f1 = 0.864507070504463, acc = 0.8262602880658436, k = 50, loss = self_adversarial, lr = 0.001
gmean = 0.8956140711235521, f1 = 0.9221471010038926, acc = 0.9022633744855967, k = 50, loss = pairwise, lr = 0.001
gmean = 0.8586627503838808, f1 = 0.9096302155428119, acc = 0.8824588477366255, k = 150, loss = self_adversarial, lr = 0.0001
gmean = 0.870756252614924, f1 = 0.9132739821946584, acc = 0.8885030864197531, k = 50, loss = pairwise, lr = 0.0001
gmean = 0.8238699687374776, f1 = 0.8781761574771518, acc = 0.8440072016460906, k = 50, loss = nll, lr = 0.001
gmean = 0.8674273336235697, f1 = 0.9125149461937027, acc = 0.8870884773662552, k = 50, loss = self_adversarial, lr = 0.0001
gmean = 0.8882350984894619, f1 = 0.9173824130879346, acc = 0.8960905349794238, k = 100, loss = pairwise, lr = 0.001
gmean = 0.867053200617758, f1 = 0.9123331340904561, acc = 0.8868312757201646, k = 50, loss = nll, lr = 0.0001
gmean = 0.8298818019864169, f1 = 0.8787848101265822, acc = 0.8460648148148148, k = 100, loss = nll, lr = 0.001
gmean = 0.792117539747322, f1 = 0.854843577104919, acc = 0.814429012345679, k = 100, loss = self_adversarial, lr = 0.001
gmean = 0.863930095300189, f1 = 0.9140262560458001, acc = 0.8879886831275721, k = 100, loss = pairwise, lr = 0.0001
gmean = 0.8607348649471993, f1 = 0.9112472820715557, acc = 0.8845164609053497, k = 100, loss = self_adversarial, lr = 0.0001
gmean = 0.8618159208189345, f1 = 0.9136556069705621, acc = 0.8872170781893004, k = 100, loss = nll, lr = 0.0001
gmean = 0.7789721249964583, f1 = 0.8419452887537994, acc = 0.7993827160493827, k = 150, loss = self_adversarial, lr = 0.001
gmean = 0.8770076038669772, f1 = 0.9058277462609593, acc = 0.8825874485596708, k = 150, loss = pairwise, lr = 0.001
gmean = 0.8593662138055783, f1 = 0.9117415287628055, acc = 0.8847736625514403, k = 150, loss = pairwise, lr = 0.0001
