gmean = 0.8873722188223307, f1 = 0.7143834055162982, acc = 0.9093605324074074, k = 50, loss = nll, lr = 0.001
gmean = 0.9060501158292423, f1 = 0.7069038542990257, acc = 0.8998842592592593, k = 50, loss = pairwise, lr = 0.001
gmean = 0.8977882766296873, f1 = 0.743716232088325, acc = 0.9210792824074074, k = 50, loss = self_adversarial, lr = 0.001
gmean = 0.6764072084926808, f1 = 0.5669083717864205, acc = 0.9049479166666666, k = 50, loss = self_adversarial, lr = 0.0001
gmean = 0.7249250966635843, f1 = 0.6788861473387382, acc = 0.9341001157407407, k = 50, loss = pairwise, lr = 0.0001
gmean = 0.6652375425400375, f1 = 0.6067415730337079, acc = 0.9240451388888888, k = 50, loss = nll, lr = 0.0001
gmean = 0.9123978958977138, f1 = 0.7310979618671926, acc = 0.9112413194444444, k = 100, loss = pairwise, lr = 0.001
gmean = 0.8842637214902955, f1 = 0.7045045045045044, acc = 0.9050925925925926, k = 100, loss = nll, lr = 0.001
gmean = 0.6853897771309035, f1 = 0.5924923909367602, acc = 0.9128327546296297, k = 100, loss = self_adversarial, lr = 0.0001
gmean = 0.8812178993045783, f1 = 0.6794073437835517, acc = 0.8919994212962963, k = 100, loss = self_adversarial, lr = 0.001
gmean = 0.7338107118673751, f1 = 0.6892458100558659, acc = 0.9356192129629629, k = 100, loss = pairwise, lr = 0.0001
gmean = 0.7019126233016224, f1 = 0.6524412296564195, acc = 0.9304832175925926, k = 200, loss = nll, lr = 0.0001
gmean = 0.701941964408263, f1 = 0.6526772793053546, acc = 0.9305555555555556, k = 100, loss = nll, lr = 0.0001
gmean = 0.8537328768864108, f1 = 0.6339210747271201, acc = 0.8738425925925926, k = 150, loss = self_adversarial, lr = 0.001
gmean = 0.9151082551224288, f1 = 0.7330277232045406, acc = 0.9115306712962963, k = 150, loss = pairwise, lr = 0.001
gmean = 0.7869734601882135, f1 = 0.7497527200791295, acc = 0.9450954861111112, k = 150, loss = pairwise, lr = 0.0001
gmean = 0.8827288030067654, f1 = 0.7017543859649122, acc = 0.9040798611111112, k = 150, loss = nll, lr = 0.001
gmean = 0.6926593446387237, f1 = 0.5671641791044776, acc = 0.8993055555555556, k = 150, loss = self_adversarial, lr = 0.0001
gmean = 0.7100364347498561, f1 = 0.6625987078248385, acc = 0.9320023148148148, k = 150, loss = nll, lr = 0.0001
gmean = 0.9125988762841843, f1 = 0.7129629629629629, acc = 0.9013310185185185, k = 200, loss = pairwise, lr = 0.001
gmean = 0.8850142385052603, f1 = 0.6986027944111778, acc = 0.9016927083333334, k = 200, loss = nll, lr = 0.001
gmean = 0.8688600027215214, f1 = 0.6517651974096511, acc = 0.8794126157407407, k = 200, loss = self_adversarial, lr = 0.001
gmean = 0.8450411684495113, f1 = 0.7882387882387883, acc = 0.9484230324074074, k = 200, loss = pairwise, lr = 0.0001
gmean = 0.7222100118558824, f1 = 0.514161220043573, acc = 0.8548177083333334, k = 200, loss = self_adversarial, lr = 0.0001
