conf,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_50,c_51,c_52,c_53,c_54,c_55,c_56,c_57,c_58,c_59,c_60,c_61,c_62,c_63,c_64,c_65,c_66,c_67,c_68,c_69,c_70,c_71,c_72,c_73,c_74,c_75,c_76,c_77,c_78,c_79,c_80,c_81,c_82,c_83,c_84,c_85,c_86,c_87,c_88,c_89,c_90,c_91,c_92,c_93,c_94,c_95,c_96,c_97,c_98,c_99,c_100,c_101,c_102,c_103,c_104,c_105,c_106,c_107,c_108,c_109,c_110,c_111,c_112,c_113,c_114,c_115,c_116,c_117,c_118,c_119,c_120,c_121,c_122,c_123,c_124,c_125,c_126,c_127,c_128,c_129,c_130,c_131,c_132,c_133,c_134,c_135,c_136,c_137,c_138,c_139,c_140,c_141,c_142,c_143,c_144,c_145,c_146,c_147,c_148,c_149,c_150,c_151,c_152,c_153,c_154,c_155,c_156,c_157,c_158,c_159,c_160,c_161,c_162,c_163,c_164,c_165,c_166,c_167,c_168,c_169,c_170,c_171,c_172,c_173,c_174,c_175,c_176,c_177,c_178,c_179,c_180,c_181,c_182,c_183,c_184,c_185,c_186,c_187,c_188,c_189,c_190,c_191,c_192,c_193,c_194,c_195,c_196,c_197,c_198,c_199
conf_0,-0.08584566,0.069980964,-0.16100302,0.04531201,-0.06766027,-0.08426826,0.2431441,0.100551344,0.04631031,-0.169727,0.019178838,0.13028029,-0.068444796,0.1558446,-0.098019905,0.08998342,0.13985369,-0.09068846,0.16961636,-0.21070279,0.100075774,-0.21373855,0.08226371,0.0054690735,-0.16182335,-0.06501457,-0.1300656,0.16955201,0.06438734,0.16369082,-0.05829304,-0.2440881,0.14627674,0.05773083,-0.0059593865,-0.1573283,-0.10651876,0.18644857,0.15888953,-0.10470559,-0.2716874,-0.05812063,-0.030262982,0.25173187,-0.124138765,0.08576077,0.12359778,-0.19606787,0.099052384,-0.014143244,-0.25126746,-0.1398098,-0.19084777,0.36256605,0.18049157,-0.11851864,-0.25855327,-0.1741875,-0.123061076,0.1595167,0.054728653,-0.024090575,-0.082949415,-0.19197108,0.25061914,0.16768967,-0.12892835,0.110960744,0.1947621,0.12534031,-0.12578364,0.11220942,0.42893606,0.16040863,-0.20699513,0.056939468,0.14119607,0.18637404,-0.12949875,0.100752115,-0.023089157,0.29368684,0.22249593,-0.14654224,-0.246354,-0.018614504,-0.1686771,0.1592449,-0.05129989,0.022785736,-0.08047996,0.07040356,0.11416012,-0.20980072,0.11168644,-0.1599665,-0.23455642,-0.20329672,-0.37664655,-0.24101765,0.183923,-0.013176148,-0.15598351,-0.04344022,-0.2484855,0.104623795,0.16886458,-0.053216174,0.16905268,-0.0064676246,0.1981366,-0.09990497,0.116773754,0.12238641,-0.08386064,-0.06610152,-0.014384468,-0.20888971,-0.18669575,0.035890497,-0.06774457,-0.03226241,-0.04571991,0.13752112,-0.13730796,-0.059255283,0.053891834,-0.1446597,0.25947747,-0.25403893,0.021759741,0.23972417,0.00139657,0.39143124,0.3254009,0.10994629,0.110925004,0.15422232,0.07053202,-0.04259138,0.00364706,0.02198401,-0.2104981,-0.18930039,0.13129805,-0.031795163,-0.17816855,-0.04058838,-0.20438315,0.14672717,-0.11782346,-0.111719534,0.057032753,0.122473456,0.12925816,-0.16661939,0.015007529,-0.16814443,0.2363344,-0.17116098,0.2395891,-0.11565918,-0.2213285,0.11674962,-0.23202653,-0.13596961,0.18610518,-0.30198923,-0.07755576,-0.2952464,0.27188164,-0.19618462,0.17598793,-0.054015838,-0.13285056,0.16229337,-0.12429588,0.020345788,-0.24207291,-0.056927897,0.16244484,0.011133259,-0.20939589,0.08180215,0.09468115,-0.15689784,0.043007754,0.06150709,-0.18317088,0.050837528,0.028196748,0.26409638,0.10646237,-0.14313062,0.06971287,-0.07066081,-0.2684943,0.057261646,-0.22391437,0.14857082
conf_1,-0.22916962,0.11393122,-0.08270085,0.34995908,-0.28953388,-0.13405411,0.21691477,0.1183245,0.14124,-0.15801644,0.2048495,0.10902371,-0.109257445,0.21156397,-0.008649145,0.2651323,0.19074094,-0.14363846,0.22666468,-0.21581909,0.025858236,-0.22065698,0.07782608,-0.09679297,0.033817217,0.17927687,-0.27476382,0.32116225,0.14243868,0.16090706,-0.047612946,0.26520106,0.0062236153,0.14127114,0.21925715,-0.1616126,-0.15603806,0.10810333,0.2569204,-0.24052685,-0.26887825,-0.12758794,-0.14604832,0.10769036,-0.022063557,0.054822296,0.06072954,-0.17249733,0.04118234,-0.2556318,0.32783386,-0.14109078,-0.027561182,0.045282867,0.16211212,0.012058622,-0.10066496,-0.09032394,0.09597346,0.21503504,0.048695616,-0.09107864,-0.025110092,-0.20906377,0.24271204,0.13961655,-0.07709364,0.2669162,0.07964776,0.04162255,-0.046712242,0.050789185,-0.07378043,0.059916403,-0.21780702,0.13866666,0.1894079,0.17686912,-0.104202956,0.052594338,0.2927624,0.2081301,0.11465694,-0.15574089,-0.27897283,0.08083372,-0.21900591,0.008310924,-0.23287497,0.11779305,-0.14591226,0.12539996,0.12546018,-0.20698316,0.2510061,-0.24715337,-0.024360796,-0.07579457,-0.036926106,-0.17074324,-0.024840416,-0.24538223,-0.06401122,-0.021309452,-0.10208607,0.10508704,0.23199433,-0.083832026,-0.048882782,-0.14816229,0.083304204,-0.10758066,0.28327575,0.12048547,-0.044507965,-0.15453011,0.117091976,-0.14111447,0.37438908,0.12771608,0.064548,0.089436494,-0.23627913,-0.1533012,-0.22828668,-0.23491314,0.21211854,-0.20194432,0.034677614,-0.20119987,-0.31566605,0.09398838,0.11883946,0.1180383,-0.08680007,0.045615222,0.3336803,0.14763455,-0.011334641,-0.07489199,-0.15045027,-0.07144683,-0.10570814,-0.29342484,0.13578649,-0.13821916,-0.07475458,-0.017248219,-0.26800308,0.21055327,0.06408086,-0.07870698,0.11184299,-0.17163771,0.15408567,-0.123680376,0.07989201,-0.22328466,0.1439953,-0.01978617,0.09013015,-0.15442836,-0.15712781,0.15536995,-0.17851843,-0.1712071,0.07177932,0.19705702,0.016074331,-0.123309165,0.09875979,-0.15076733,0.16239972,-0.21404612,-0.20212755,0.07291403,0.020814063,0.18749599,-0.04941414,-0.14558159,0.23785552,0.10284119,-0.14614972,0.19437774,0.06684017,-0.08861559,-0.11707827,0.05729203,-0.16671011,-0.1913313,0.14411773,0.24123447,0.062339127,0.013741591,-0.0022756357,-0.27084434,-0.11716109,0.13120332,-0.14650804,0.18845832
conf_2,-0.147287,0.14078027,-0.14341944,0.07865811,-0.10064123,-0.18400316,0.009368738,0.06419869,0.0048112595,-0.13488965,0.06790476,0.103402056,-0.11669743,0.1738009,0.14741509,0.2427683,0.12923037,-0.15307179,0.083698474,-0.20116052,-0.16593617,-0.17429233,0.028048797,-0.25941277,0.063339084,0.23730126,-0.05773031,0.046716277,0.14130518,0.107875444,0.016294774,0.2647772,0.11378069,0.12650663,0.04001179,-0.09940772,-0.004585977,0.17208917,-0.067718096,-0.055131163,-0.2187209,-0.18342392,-0.07900405,0.19442764,-0.19049601,0.1389558,0.21072195,-0.15602687,0.16851449,-0.07427901,-0.17569974,-0.19873995,0.17077684,0.20261838,0.07004832,-0.10709401,-0.17212977,-0.23259324,-0.07857698,0.028500574,-0.099794075,-0.023177573,-0.18321109,-0.13874318,0.16646837,0.08730404,-0.16946669,0.13364974,0.11868397,0.060612913,-0.074606195,0.070933715,0.31594473,0.054077618,-0.18296306,0.07915322,0.08215572,0.1970147,-0.039492916,0.12605625,-0.014835549,0.222426,0.05825702,-0.104687236,-0.071749374,-0.19468443,-0.18597096,0.13985236,-0.06657231,0.00015078773,-0.09374996,0.013641974,0.15614338,-0.070132785,0.2550899,-0.09618571,-0.13612355,-0.2716857,-0.047974132,-0.18834394,0.019801952,-0.16508915,-0.2417354,-0.07500217,-0.25312582,0.12187724,0.12360468,0.0992631,-0.07794538,0.12153805,0.3421958,-0.061360754,0.14096057,0.2141796,-0.18704323,-0.07457709,0.05042777,-0.03065581,0.039733402,0.25712797,0.2324476,0.0404718,-0.0978968,0.17894877,-0.14015393,-0.12894142,0.15325023,-0.20743603,0.09556416,-0.12759146,-0.018014569,0.13982518,0.2688635,0.1986151,0.14546591,0.09695542,0.34475464,0.19366997,0.019146174,-0.14808057,-0.024457054,-0.13020629,-0.14766273,-0.041331787,0.07131138,-0.09642775,-0.1778476,-0.054116495,-0.051027525,0.17582688,-0.074706115,-0.023868375,0.16284828,0.077850774,0.094257504,-0.012716982,0.21394616,-0.19744267,0.19461769,-0.13926692,0.3132201,-0.13831891,-0.00882619,0.13025112,-0.089680515,-0.0069839526,0.1952556,0.024734786,0.06411528,-0.07485819,0.17672782,-0.12370876,0.06397999,-0.15972066,-0.0060534435,0.18218315,-0.23149098,0.024078045,-0.15782742,-0.1329916,0.27205804,-0.32450283,-0.1806324,0.14086573,0.0357047,-0.1408803,-0.12467756,0.11228284,-0.11060594,-0.02397415,0.05725689,0.09581506,-0.074487895,-0.12982501,0.049999446,-0.025311753,-0.06539208,0.088075034,-0.061216313,0.17956387
conf_3,-0.16114673,0.04703545,0.03564137,0.27490768,-0.10567582,-0.035499763,0.062383953,0.06654728,0.16486648,-0.1375631,0.11753823,0.13317242,-0.17925152,0.10020583,-0.2352778,0.16906305,0.14859739,-0.19228575,0.19044274,-0.17122409,-0.005243918,-0.1450453,0.06877498,-0.1417058,-0.03120845,0.25749904,-0.22448345,0.15298544,0.19708584,0.14912152,-0.1696322,0.23327927,0.09263749,0.177481,0.21888286,-0.016261522,-0.1757306,0.19130069,0.061375882,-0.15716596,0.03072154,-0.22694759,-0.14536455,0.21329194,-0.10691939,0.099950835,0.15290846,-0.25029513,0.09742723,-0.21850063,-0.017879764,-0.007598854,0.046856254,-0.027914252,0.056322057,-0.3032646,0.023117881,-0.0919145,-0.26816288,0.055084668,0.22160524,-0.06545466,-0.28046766,-0.13649689,0.077141665,0.13619526,-0.08046095,0.3151209,0.17580108,-0.16496217,-0.079731345,0.086830445,-0.1722474,-0.13207933,-0.20992006,0.17659058,0.21015334,0.15688927,-0.16044375,0.24548085,-0.011123828,0.063672245,0.14783761,-0.17752519,-0.25355145,-0.11904515,-0.17874716,-0.075654656,-0.14800318,0.21386525,-0.073329985,0.21854243,0.13243175,-0.09870318,0.12768875,-0.08594162,-0.07974162,-0.058768943,-0.17567728,-0.0355557,0.08058055,-0.23237288,-0.21893585,-0.07619825,-0.15353449,0.120227486,0.0050783283,-0.19364272,-0.03976833,-0.008250511,0.105769336,-0.115226805,0.2767282,0.11835668,-0.08000354,-0.11328136,0.17315857,-0.04003848,0.119371824,0.13379534,-0.09497531,0.3508417,-0.15183808,-0.13044843,-0.1430428,-0.16407715,-0.076721705,-0.09540163,0.08133745,-0.06638693,0.049627513,0.14054914,0.22298446,-0.11124391,-0.11164234,0.105232686,0.070810005,-0.028614866,0.10232652,-0.32478017,-0.12802543,-0.03781288,-0.23477748,-0.09256332,0.04980985,-0.11933372,-0.21919574,-0.0059659868,-0.12640998,0.3463929,-0.22498548,-0.0025538674,0.12638536,-0.31175113,0.115645245,0.20870882,0.19894876,-0.17435738,0.036253974,0.091286995,0.025131378,-0.19769005,-0.16742271,0.063433856,-0.15916854,0.028252829,-0.2510772,0.098787196,0.23535435,-0.14119567,0.105242595,-0.21734129,0.03157221,-0.15007806,-0.17503802,-0.012138896,-0.20840819,0.09940294,-0.087470464,-0.07574025,0.23402542,-0.03539507,-0.12501979,0.17965461,0.008757738,-0.07667012,-0.14044027,0.12683757,-0.13409217,-0.07448113,0.19492298,-0.08666542,-0.10276673,-0.23487593,0.086217456,-0.0825074,-0.073552094,0.15686634,-0.09254602,0.17099565
conf_4,0.23185153,0.17270318,-0.12122769,0.16551593,-0.06273334,-0.072449304,0.12863545,0.1801749,0.01757915,-0.21331438,0.107959,0.09202585,-0.13131236,0.09825354,-0.11277776,0.09193836,0.12610841,-0.057842348,0.14318581,-0.22980742,-0.03835997,-0.12381028,0.13252972,-0.14432698,-0.040412623,-0.080461875,-0.12716174,0.20941748,0.018765667,0.12631413,-0.10332718,-0.07439725,-0.021140717,0.12128844,0.14829516,-0.055454448,-0.19703674,0.16430974,0.06025108,0.21294853,-0.11618915,-0.003294665,-0.09055545,-0.0105611645,-0.09785546,0.025702482,0.13965811,-0.14765823,0.1425487,-0.00665964,0.5160043,-0.015388918,0.061228856,0.20977499,0.25121626,-0.1692193,-0.19489816,-0.012704685,-0.1355536,0.2707661,0.08768458,-0.052637078,-0.2100961,-0.2580724,0.1567987,0.21815267,-0.13359232,0.1280464,0.15254879,0.09824001,-0.12042754,-0.16230522,0.09452795,0.13738082,-0.12087878,0.13475193,0.018069671,0.09826898,0.015370824,0.09276139,-0.2112373,0.17219633,0.1113498,-0.22455241,-0.077447645,0.2983358,-0.30399337,0.17046584,0.0245035,0.05448385,-0.06517898,0.08006616,0.013867572,-0.19905901,-0.074179955,-0.09319728,0.19617778,-0.26258767,0.37118804,-0.09622147,0.13661791,-0.12765259,0.052487273,-0.19940749,-0.18084267,0.14632922,0.29547668,-0.006230658,-0.16272195,-0.07821314,0.17063326,-0.14030732,0.36421564,0.08100913,-0.21926168,-0.071717,0.04552237,-0.1599249,0.013515831,0.23090461,0.25260162,0.049851723,-0.04317839,-0.18454166,-0.23904622,-0.042631153,0.2645593,-0.07339482,0.15526207,0.089394756,0.31755885,0.14963129,0.2025345,0.0002917766,0.29206496,0.14391921,-0.009186548,0.078770414,0.12192184,-0.22608534,0.029725993,-0.091843545,-0.18389967,-0.035587285,0.056742985,-0.2511708,-0.10346289,-0.13264818,-0.17105463,0.20907065,-0.14391145,-0.1333513,0.19587994,-0.1579,0.013461447,0.058809847,0.024241876,-0.1752938,0.118384235,0.04952825,0.12930003,-0.09487176,-0.115514554,0.31716895,-0.054207157,-0.109488465,0.28100833,-0.2431449,-0.22525351,-0.12087812,0.3218464,-0.10587668,0.24618186,-0.1868145,-0.14304869,0.15928964,-0.105301954,0.08968114,-0.1425403,-0.12863459,0.20841336,0.06280634,-0.017267259,0.10193418,-0.017213218,-0.18938206,0.29556224,0.15119293,-0.12987477,-0.1355015,-0.09836623,0.1770057,-0.15502305,-0.23839124,0.19506827,-0.20475145,-0.17288217,0.24344528,-0.13749015,0.12209597
conf_5,-0.052116722,0.09263566,-0.10106199,-0.06784275,-0.12384418,-0.13906531,0.27099904,0.16761298,0.26373947,-0.17872985,0.17991409,0.25434244,-0.22279176,0.31110927,-0.03367362,0.024803732,0.16410883,-0.15752581,0.119360335,-0.09089344,-0.24405132,-0.12351756,0.13773713,-0.27387962,-0.09219251,0.14426436,-0.21688078,0.06998002,0.28440663,0.13390785,-0.13473609,0.12891875,0.26111537,0.16985755,0.18795046,-0.24912284,-0.061928492,0.11516036,0.11798622,-0.19859193,-0.0852522,-0.17777638,-0.15349251,0.120722264,-0.067592315,0.20098516,0.016383015,-0.15367183,0.17146376,0.060837325,-0.22838973,-0.14810872,0.15827985,-0.0599928,0.15116237,-0.19368438,-0.07981617,-0.15148546,-0.27692026,0.00504011,0.07828133,-0.16706346,0.2395592,-0.08761024,0.20398168,0.15700237,-0.113978095,0.20861386,0.09024176,-0.20697123,-0.013854054,0.021584388,-0.016045561,-0.0868604,-0.22681864,0.10125708,0.13267253,0.024232253,-0.15002106,0.115875974,0.28011745,-0.028932828,0.1194357,-0.076556586,-0.2813702,0.039682936,-0.17859805,-0.014949971,-0.14531869,0.15702023,-0.16731463,0.2302881,0.10041018,-0.24811365,0.08339017,-0.28335738,-0.09898845,-0.09451659,0.1627559,-0.16200729,0.1449068,-0.25022703,-0.23727983,-0.23929197,-0.1727248,0.14812775,0.15449233,0.015315206,0.2618105,0.27419773,0.0483576,-0.082660176,0.06293633,0.09860516,-0.08496513,-0.16077109,0.00042773745,-0.13731322,0.14309858,0.11818029,0.0111901155,0.25865784,-0.42866394,0.085754834,-0.21760948,-0.14014149,-0.08833061,-0.18562998,0.06823263,-0.1830029,0.19096915,0.15590446,0.15860024,0.25105503,-0.050419644,0.18105306,0.19592373,0.15485626,0.08275412,-0.13729396,-0.137122,-0.1706487,-0.16284284,-0.09317638,0.07228195,-0.13563144,-0.17732371,-0.11054049,-0.19056226,0.0425111,-0.085432015,0.04060136,0.17709413,-0.285204,0.17445374,0.07861856,0.17972371,-0.1226497,0.03161285,-0.18591946,0.025851544,-0.10129755,-0.08841249,0.17577866,-0.13728613,0.23071042,-0.0300842,0.16077878,-0.19142538,-0.09488091,-0.1536334,-0.20444883,0.097316995,-0.14148773,-0.08855986,0.30419096,-0.012607135,0.16680281,0.112640746,-0.15844709,0.26879847,-0.07847858,-0.08116118,0.1776939,0.012741902,-0.1850864,-0.09344239,0.09779086,-0.10779114,-0.15090717,0.073678955,-0.070282005,0.093098655,-0.17114536,0.13751292,-0.16149686,-0.15770905,0.13580567,-0.15821436,0.1378912
conf_6,-0.073954254,0.08552203,-0.26054698,0.27084407,-0.045666113,-0.053152855,0.012857357,0.15894769,-0.029252358,-0.111908674,0.124426536,0.062327433,-0.2580297,0.12773205,0.3154288,0.31123036,0.19335662,-0.050545964,0.18295868,-0.02065231,-0.2820265,-0.14784802,0.07780912,-0.05771154,-0.11730254,0.055089287,0.0035828953,0.25696817,0.01910426,0.15006861,-0.12317945,-0.1812677,0.2517199,0.142966,0.009033378,0.012125451,-0.017599436,0.20025133,0.08107502,0.019209234,-0.34265018,0.23163132,-0.06764392,-0.053233568,-0.14524028,0.15820669,0.09120702,-0.21958385,0.17840615,0.096396044,-0.043028448,-0.06857191,-0.18803321,0.275849,0.027474394,-0.020488024,-0.1669097,0.06814952,-0.22833945,0.25471225,0.07370955,-0.18069643,-0.16673458,-0.2256062,0.14975657,0.12701766,-0.119564466,0.2907695,0.1826067,0.2665038,-0.10589684,-0.18113434,0.034372907,0.2002803,-0.16178602,0.02669468,0.32108644,0.13701746,-0.15268458,0.14696553,0.043702226,0.067556,0.024796404,-0.1288256,-0.10937786,-0.055653535,-0.21287692,-0.036863495,-0.00642722,0.08548748,0.04127271,0.030888911,0.053935785,-0.04125661,0.12525283,-0.13724579,0.50169903,-0.29203573,-0.12120702,-0.24120237,0.17931084,0.009355014,0.26435006,-0.0858388,-0.08747838,0.05359536,-0.08780805,0.0012950161,0.021683156,-0.11574395,0.097619146,-0.019953609,0.0894138,0.18384011,-0.117100224,-0.12643649,0.068413556,-0.07845874,-0.16526821,-0.018079808,-0.0639639,0.03158324,-0.2809067,-0.11408232,-0.065047674,-0.14674003,-0.100708,-0.009587422,0.19665286,-0.1839566,0.098275274,0.2570201,-0.1866411,0.11149787,0.09183629,0.21230355,-0.082540445,0.08292431,0.09879627,-0.17748684,0.049010728,-0.18813601,-0.09668381,-0.061030507,0.05488404,-0.08793422,-0.10108456,0.08737063,-0.1444244,0.25327602,-0.058535844,-0.23400441,0.060534894,-0.0944219,0.24256293,-0.072949,0.13760342,-0.12734784,-0.027003475,-0.11199031,0.30066395,-0.059901815,-0.0045162532,0.109117165,-0.08965178,-0.22639082,0.16793162,-0.069900095,-0.064986885,0.0352911,0.29335862,-0.0027421692,0.06513528,-0.10981443,-0.19498031,0.2425615,0.108122006,0.08765218,-0.23207983,-0.31838757,-0.077662826,0.0045863795,-0.19492584,0.09489598,0.006519996,-0.11934106,0.21777396,0.1928187,-0.18155824,-0.32589743,-0.08097266,0.096014366,-0.0062817233,0.12959352,0.12938577,-0.087344125,-0.05820659,-0.07079824,-0.09373454,0.06080083
conf_7,0.05548029,0.040087037,0.05877474,0.18767227,-0.186207,-0.033456784,0.1082254,0.040735483,0.21075644,-0.05314065,0.07732916,0.101381615,-0.29827023,0.06569633,0.053584304,0.007063738,0.15828513,0.1852033,0.1052024,-0.08234743,-0.0010547875,-0.18146545,0.0863875,-0.055022202,0.21244982,0.117821485,-0.27072704,0.009639899,0.1439523,0.18102923,-0.17010552,-0.020307695,0.066269174,0.16341935,0.29882982,-0.06968152,-0.1261621,0.14388905,0.04082288,-0.054842357,-0.104488395,-0.050292708,-0.18589006,0.19101313,-0.20177664,0.044590533,0.24336503,-0.22541372,0.15718001,-0.039895885,-0.12764445,-0.036572333,-0.0007402985,-0.34497312,0.1397062,-0.046326317,-0.06722026,-0.067216024,-0.23616475,0.14459807,0.096209474,-0.16302113,-0.0034270373,-0.16173667,0.034461692,0.1099518,-0.14601243,0.14578125,0.047001276,-0.1384941,-0.08733592,0.13170789,0.15438391,-0.051091768,-0.165283,0.24653503,0.07873812,0.15922108,-0.07843918,0.08891475,0.19048572,0.11006668,0.112441495,-0.21058273,-0.18818624,-0.013874213,-0.096242934,-0.023851072,-0.11484906,0.19904724,-0.1738294,0.21720096,0.068193324,-0.19043308,0.2731506,-0.19937617,-0.30136967,0.17517418,0.0060973708,-0.04653894,0.12787597,-0.3041356,-0.2137023,-0.15332809,-0.10037094,0.13012959,0.08620775,-0.20457713,0.14589006,-0.008195299,0.21649164,-0.049260106,0.33094236,0.13685077,-0.09758836,-0.10798292,-0.070822105,-0.1213593,0.14908917,0.17097081,-0.3658784,0.32781652,-0.08931572,0.08947615,-0.12728108,-0.25506574,-0.38246334,-0.1644124,-0.021783734,-0.18378274,-0.19165973,0.09292028,0.18325417,0.086662576,-0.23469862,0.074522875,0.072167486,0.17327322,0.12071917,-0.16350387,0.0679511,-0.17910546,-0.14390987,0.15842979,0.053067196,-0.2749787,-0.10995592,-0.189197,-0.09362043,-0.044798627,-0.11279683,0.106970534,0.1597143,-0.19474566,0.13926426,0.23371354,-0.09876142,-0.030531254,0.16364029,0.2474792,0.15055074,-0.17817031,-0.12600537,0.23943244,-0.20286323,0.07463799,-0.21341023,0.15513262,0.041937616,-0.13074698,0.09762441,-0.11188143,-0.0062876516,-0.19438623,-0.09782347,0.033838626,0.09390755,0.24352902,-0.06687209,-0.25450873,0.20110877,-0.14501156,0.11500539,0.14930831,-0.06877674,-0.15219115,-0.21727042,0.11980779,-0.07709996,-0.25465116,-0.027930172,-0.17476717,0.116919994,-0.18350661,0.11088903,-0.073048696,0.0958986,0.21129836,-0.09039988,0.1579954
conf_8,-0.2046207,0.2084062,-0.1452382,0.16664295,-0.0060485806,-0.074714854,0.23321971,0.2240257,-0.028081682,-0.06693049,0.17316273,0.023245743,-0.29281083,0.2597351,-0.16460484,0.12653722,0.13180862,-0.20300807,0.054064713,-0.10541353,-0.13001746,-0.11541107,0.11541888,-0.17800832,-0.077940606,0.036334347,0.012341642,0.09825734,0.07413611,0.20394024,-0.115394466,0.10074004,0.09133696,0.16699718,0.002676795,0.03398739,-0.030733105,0.15842348,0.16346304,-0.1823173,-0.3231192,-0.039603997,0.00014892654,0.056759436,-0.19979155,0.19882807,0.06099311,-0.110712565,0.14013967,0.14380533,-0.17208545,-0.11668026,-0.02888685,0.01980474,0.1884898,-0.15248471,-0.113111585,-0.14321972,-0.15498099,0.17985852,-0.015869416,-0.029724114,-0.19661357,-0.273171,0.09409496,0.1434822,-0.06447924,0.08307825,0.15455529,0.15162264,-0.10196289,-0.23572361,0.37401903,0.35243154,-0.20723668,0.0071274727,0.14666219,0.13322954,-0.08093845,0.041374072,-0.21466081,0.12994853,0.057635,-0.18561654,-0.18400697,-0.039126683,-0.141054,0.031231947,-0.1420869,0.19079965,-0.09869793,0.00829621,0.11752594,0.0015309212,-0.12859628,-0.107079044,0.018621337,-0.19363412,0.4304106,-0.11967098,0.073613666,0.09561907,0.07656242,-0.08565096,-0.16902551,0.17272888,-0.1310267,-0.005443421,-0.27424094,0.22308876,0.16287799,-0.08505777,-0.1279949,0.25557718,-0.13484412,-0.21965262,0.2526549,-0.09049536,-0.051607594,0.093603455,-0.16823952,-0.025010949,-0.19753167,-0.008642408,-0.10167663,-0.11170769,0.14256075,-0.19016732,0.13770267,-0.17601079,0.03443699,0.17117931,-0.15870494,-0.06198549,0.12730291,0.17488432,-0.05801399,0.01376844,0.15975443,-0.060427222,-0.028279,-0.110146575,-0.2474695,-0.2696284,0.12835057,-0.005665892,-0.1515067,-0.28635785,-0.32331485,0.1306256,0.02738511,-0.14659831,0.056919508,-0.17762223,0.20561205,-0.15630922,0.09809154,-0.15684827,0.14904243,-0.035840306,0.13419688,-0.0672726,-0.14463891,0.060814906,-0.08942528,-0.008238186,0.16876268,-0.166264,-0.09995884,-0.15836406,0.23098843,-0.15121652,0.064022444,-0.1264522,-0.10688093,0.21074495,-0.06620086,0.12039782,-0.22958139,-0.23561953,0.078587405,0.28169245,-0.2649342,0.18903518,0.17767501,-0.2366069,0.21782126,0.2422134,-0.0989648,0.086292565,0.20976245,0.2509347,-0.25396305,0.07529847,0.24350406,-0.10203678,-0.1445186,0.052776735,-0.29490063,0.13520667
conf_9,0.10342508,0.08928246,0.0020038683,0.26568553,-0.17381077,-0.19736698,0.21997364,0.14689672,0.24047138,-0.080748685,0.044772446,0.1441984,-0.108019575,0.2728776,0.07599108,0.15588184,0.217003,-0.11625622,0.09603599,-0.10804003,-0.006192381,-0.16511326,0.2255583,-0.12223269,0.40316752,-0.010567311,-0.30437595,0.03542148,0.17877083,0.1737003,-0.03736242,0.20674312,0.07821459,0.0642187,0.17098314,-0.37547868,-0.08496435,0.1381558,0.107914984,-0.25121954,-0.0959292,-0.16432074,-0.19309509,-0.0299837,-0.04350251,0.16308443,0.22843635,-0.15229167,0.17193934,-0.28696534,-0.18858847,-0.16098185,0.34875938,0.14797229,0.085876375,-0.10916258,-0.08516628,-0.058399644,-0.24252313,0.10604933,0.018760754,-0.14968032,0.016041148,-0.16769966,0.07291924,0.105060026,-0.21770586,0.12822409,0.13009986,-0.19975825,-0.033711147,0.071670935,0.16668634,-0.13112137,-0.103333615,0.17443438,-0.09561252,0.032384783,-0.043884065,0.1659184,0.3849877,0.29240325,0.12176976,-0.090318434,-0.12643652,0.102949895,-0.24503148,-0.09752693,-0.28706893,0.17246869,-0.18364392,0.3075201,0.110200725,-0.07473272,0.2346579,-0.16030423,0.055576086,-0.02137818,-0.1459248,-0.09535833,0.14534333,-0.2070801,-0.10107827,-0.124209255,-0.11064811,0.07716189,0.1653595,-0.08030191,0.22752547,0.03313125,0.24702354,-0.15185072,0.019304173,0.098466165,-0.15595648,-0.12488202,-0.20953923,-0.18144055,0.043468762,0.094511524,0.08801091,0.26631796,-0.28636175,0.067329414,-0.23956487,-0.16247484,-0.18003587,-0.10944898,0.025000764,-0.1878813,0.23034456,5.6842713e-05,0.10493177,0.24537858,-0.09079428,-0.0026343132,0.16016208,0.069753274,0.18154444,0.002227786,-0.124828316,-0.06970374,-0.043060575,-0.0022284214,0.061358728,-0.15700658,-0.20702292,-0.19825438,-0.29267094,0.1874548,-0.15194497,-0.16456763,0.123822,-0.1019277,0.1473916,0.07362407,0.36611396,-0.15074874,0.029702723,-0.13670535,0.28519377,-0.12890777,-0.101531304,0.2673474,-0.18930033,0.3681554,-0.13629137,0.19852412,-0.19234179,-0.109721825,-0.1654056,-0.07811128,0.18785554,-0.22411944,-0.21331918,0.33570084,-0.039398376,0.25363302,-0.08998362,-0.02431081,0.26961753,0.0045840084,-0.036079027,0.2003407,0.053799037,-0.11391478,-0.11763321,0.18068078,-0.19774164,-0.2583544,-0.12208467,-0.10355699,0.025529724,-0.061340883,0.0023314573,-0.23446111,0.0040950077,0.08068448,-0.0024735457,0.06996712
