conf,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_50,c_51,c_52,c_53,c_54,c_55,c_56,c_57,c_58,c_59,c_60,c_61,c_62,c_63,c_64,c_65,c_66,c_67,c_68,c_69,c_70,c_71,c_72,c_73,c_74,c_75,c_76,c_77,c_78,c_79,c_80,c_81,c_82,c_83,c_84,c_85,c_86,c_87,c_88,c_89,c_90,c_91,c_92,c_93,c_94,c_95,c_96,c_97,c_98,c_99
conf_0,-0.0799985,-0.17717353,0.050487585,0.24748436,0.16939667,0.107449904,0.18861534,0.15764907,-0.1686488,-0.10521817,0.13201709,0.30515724,-0.17489836,0.21839646,-0.07517003,0.08912413,0.00018800236,0.1465257,-0.07352798,0.10372849,-0.015963664,-0.03553372,-0.035699982,-0.17974126,0.20406933,0.06334819,-0.13352114,-0.10433647,-0.13357748,0.020775624,0.051576044,-0.11738096,0.2961746,0.15148434,-0.02387159,-0.103714935,-0.10971568,-0.086728334,-0.14970091,0.13940305,-0.09183731,-0.13059825,-0.1755602,-0.06480649,-0.13792141,-0.25258848,-0.17171608,0.083876155,0.2247595,0.12968923,0.1991884,0.050102256,-0.12969042,-0.12216933,-0.1467224,0.07297887,0.13495539,0.100231096,-0.05132802,0.1993137,-0.12573327,-0.08523255,-0.045099933,-0.0374585,0.12993388,-0.25615382,0.18908253,0.13053754,0.056569204,0.08401775,-0.13721743,0.15805951,-0.11584666,-0.2960907,0.1750166,-0.18078296,-0.21811794,0.14946139,0.17251498,0.09000231,0.13017151,-0.012161233,0.024504228,0.22555658,0.072372794,0.16979803,-0.09833185,-0.08704535,0.07287942,-0.17882112,0.10132989,-0.1944529,-0.10514362,0.041061383,0.07915704,-0.15587136,-0.014560631,0.18067887,-0.16745004,0.044680536
conf_1,-0.08834705,-0.22808996,0.11436939,0.024726903,0.0036221032,0.11562538,0.15815431,0.1365364,-0.16398448,-0.17841698,0.1385479,0.19375157,-0.19285639,0.18705231,-0.24254356,0.21520242,0.024095012,-0.044214934,-0.21787158,0.0630171,0.09860818,-0.19638427,0.21885863,-0.18249804,0.23083657,0.22575001,-0.14953627,-0.23819241,-0.118965454,0.039421022,0.14864628,-0.17103459,-0.08641856,0.19214796,-0.12417796,-0.15345488,-0.114940986,-0.19659466,-0.17861804,0.15827769,-0.13068713,-0.20163032,-0.055405658,0.068423696,-0.21004012,-0.19503355,-0.20490791,0.18591984,0.32312012,0.23375347,0.17821075,0.13065392,-0.0800156,-0.20148648,-0.1567802,0.19804467,0.24407636,0.26238135,-0.124634586,0.20355581,-0.070919774,-0.2764774,-0.027736727,-0.15164998,0.20903516,-0.008186715,0.15449326,0.19587293,0.0032454187,0.11039917,-0.122425884,-0.26042658,-0.13794468,-0.11323056,0.2048463,0.00519174,-0.16928288,0.1269931,0.14023194,0.14366253,0.0591764,-0.08650359,-0.15183802,0.20483835,0.104312025,0.18915144,-0.15196227,-0.06156108,-0.12907048,-0.17162983,0.10425569,-0.13874674,-0.19615597,0.18739225,0.052896123,-0.22056453,-0.11379792,-0.008749202,-0.097895116,0.007664364
conf_2,-0.21256293,-0.11972531,0.18576714,0.05010631,0.15587111,0.03354668,0.20186159,0.17250818,-0.19285981,-0.10472726,0.033829022,0.23441021,-0.12139358,0.20833401,-0.1835797,0.19284873,0.006631707,0.084359676,-0.15436909,-0.007887415,-0.17466635,-0.08866235,0.0859325,-0.14117926,0.12923796,0.089057654,-0.095789604,-0.118615925,-0.1602205,0.15350913,0.09339902,-0.113965675,0.26936027,0.13083924,-0.14578497,-0.20487307,-0.18519047,-0.0775173,-0.16466762,0.16180794,-0.18161982,-0.20482518,-0.18465875,-0.13813457,-0.16500005,-0.07771656,-0.23158118,0.09382699,0.23497243,0.1897654,0.22469746,0.16286832,-0.024682513,-0.21721882,-0.16584465,0.17131303,0.20247194,0.16108608,-0.117214285,0.05298535,-0.18022162,-0.17499024,-0.09749025,-0.09819747,0.21299002,-0.13428046,0.25252348,0.1324279,-0.03383292,0.17685214,-0.10121352,0.030428942,-0.13199228,-0.1500833,0.16441172,-0.20366667,-0.22051816,0.19801407,0.14210476,0.18898407,0.091087006,-0.15021092,-0.069202475,0.14471635,0.104967035,0.18162166,-0.1656443,-0.18722974,-0.09592724,-0.14843887,0.12313758,-0.107232675,-0.1528139,0.10237549,0.024486063,-0.1362456,-0.19163214,0.21149886,-0.15356122,-0.15977447
conf_3,-0.17673656,-0.12005337,0.091508895,-0.01489069,0.09284234,0.15166883,0.16483983,0.1183019,-0.068742536,-0.03513051,0.03892623,0.18995343,-0.13857798,0.122437224,-0.1503324,0.22700837,0.04514724,-0.22949643,-0.19987333,-0.009083381,0.10392462,-0.19289908,0.11773704,-0.09884944,0.255422,0.13784173,-0.1570409,-0.08679325,-0.12048938,0.07700807,-0.05002439,-0.21754253,-0.053706,0.1988088,-0.18447255,-0.12934285,-0.07657478,-0.15075026,-0.08729628,0.1586114,-0.07712387,-0.13123007,-0.07764984,-0.01828842,-0.20382617,-0.2022932,0.011162649,0.12589294,0.30870345,0.13352993,0.12261731,0.22214197,-0.055511832,-0.11586317,-0.08946896,0.11943275,0.19629695,0.15780558,-0.055241335,0.16037837,-0.22327183,-0.11279804,0.00978909,-0.23794381,0.22057468,-0.1795395,0.20846921,0.16976485,-0.15925334,0.08169981,-0.17604008,-0.29011038,-0.020332903,-0.19795777,0.10703878,0.21247004,-0.26893598,0.18416776,0.2353731,0.22606789,0.18643452,0.061770603,-0.1090999,0.14078672,0.05997305,0.12564155,-0.0406414,0.02101431,-0.07621974,-0.09086438,0.11472804,-0.25061852,-0.24773172,0.264869,-0.014109226,-0.10393668,-0.085883744,0.11966351,-0.114219576,-0.04053755
conf_4,-0.16086325,-0.14548804,0.08886401,0.042185266,0.12620682,0.14802831,0.13427758,0.17133379,-0.16285746,-0.008439075,0.09163264,0.23931625,-0.11735994,0.24294822,-0.13653657,0.16283208,-0.12812169,0.083868,-0.18255849,0.10637693,-0.10016676,-0.09759712,0.23833807,-0.18205452,0.1983394,0.16879202,-0.22708833,-0.23455401,-0.23704645,-0.020482248,0.12310265,-0.09125431,0.17109266,0.050573237,-0.1149853,-0.22077934,-0.15797162,-0.21160498,-0.20572095,-0.09173354,-0.20241679,-0.20088774,-0.23370272,-0.097961634,-0.22216253,-0.19666395,-0.19804028,0.104745656,0.25545284,0.1522711,0.18016146,0.12536778,-0.06642788,-0.1295469,-0.15915453,0.12739095,0.24357453,0.1263236,-0.16941388,0.1304449,-0.18478785,-0.1461344,-0.11967286,-0.167008,0.17818944,-0.13333401,0.19254892,0.10423411,-0.0058430866,0.20221172,-0.1825078,-0.11213623,-0.12119189,-0.10153347,0.19490519,-0.17629178,-0.18525779,0.13363668,0.1476471,0.15630214,0.10563187,-0.08832454,-0.14789458,0.21378064,0.11537694,0.27023283,-0.1523131,-0.1690856,-0.16047387,-0.2280689,0.096621044,-0.16391811,-0.13752234,0.23978704,0.0058212876,-0.13751274,-0.20821473,0.16721052,-0.14561754,-0.056161966
conf_5,-0.064986914,0.03328673,-0.026812026,0.07619096,0.17639194,0.0690824,0.26026335,0.14738259,-0.16734785,-0.1043025,0.09573043,0.10345684,-0.10878593,0.072238974,-0.1879114,0.11384137,0.003637398,-0.22282949,-0.22714745,0.025490638,0.18921718,-0.23519588,0.21254355,-0.12946084,0.13751267,0.075109065,-0.18901302,-0.1014941,-0.106993645,-0.09149565,-0.017250609,-0.15080969,-0.24300395,0.2493015,-0.12976798,-0.17616948,-0.06696054,-0.0797124,-0.17753206,0.07964277,-0.06832737,-0.20039204,-0.086008295,0.063578635,-0.08215115,-0.116032965,-0.07191365,0.08635964,0.24205601,0.05839419,0.13108788,0.20500377,-0.035953715,-0.10549248,-0.13856934,0.11478133,0.23879088,0.12589303,0.031108625,0.13237645,-0.19377202,-0.18717846,-0.13484608,-0.110419996,0.1579445,-0.1390936,0.07240659,0.12658575,0.08724556,0.07653048,-0.11131939,-0.3235231,0.10450987,-0.153824,0.15885563,0.111491375,-0.12928452,0.12674633,0.23762566,0.1268028,0.06381791,-0.028478451,-0.19026008,0.09216772,-0.0013683174,0.09587802,-0.086293645,-0.22500037,-0.059011728,-0.105851635,0.06456535,-0.2653044,-0.17152187,0.12851232,0.07623148,-0.10599801,-0.030333811,0.003761779,-0.04337032,0.090032764
conf_6,-0.1886723,-0.19690044,0.1896786,-0.018771723,0.12837245,0.0849323,0.19708872,0.18415935,-0.20672855,-0.13997652,0.15821725,0.21784121,-0.15883419,0.20766456,-0.23252511,0.19670352,-0.12315862,0.1450691,-0.17311274,0.024146132,-0.16752805,-0.1943316,0.076984376,-0.21847886,0.22195275,0.087875344,-0.21794641,-0.18780182,-0.20450301,0.16079195,0.005133549,-0.16452307,0.044814393,0.16884331,-0.101673,-0.259554,-0.18655728,-0.1374903,-0.22940986,0.20289683,-0.23513198,-0.13477811,-0.16891389,-0.17624138,-0.2009803,-0.13316892,-0.28439054,0.102006935,0.10711339,0.14401844,0.13076052,0.059700746,0.048077922,-0.17832498,-0.14216834,0.24975745,0.19274752,0.17718104,-0.12058918,0.062458966,-0.12973839,-0.089707516,-0.043127403,-0.11950928,0.19365008,-0.048831914,0.2208962,0.10646176,-0.12556295,0.17135893,-0.20406982,0.14190288,-0.22081944,-0.19293982,0.15277864,-0.23171215,-0.17856866,0.13743816,0.127836,0.12443653,0.11685763,0.040325645,-0.18886022,0.16720738,0.22931693,0.19705977,-0.12734064,-0.19969319,-0.18808542,-0.2692958,0.081641614,-0.23083597,-0.17965466,0.082349904,0.16108395,-0.20047234,-0.22257024,0.093615495,-0.2560611,-0.014568832
conf_7,-0.12428078,-0.07384844,0.029482206,0.1500533,0.019682368,0.09884334,0.24038242,0.15039186,-0.12283126,0.020308059,0.07455378,0.13011883,-0.10534825,0.12846833,-0.17162734,0.17295171,-0.02065014,-0.012676568,-0.17082046,-0.037443046,0.109554134,-0.08431799,0.1142645,-0.151757,0.16726238,0.16465458,-0.1931717,-0.15801199,-0.1322981,0.030482387,0.09999952,-0.09104345,-0.14184335,0.19368199,0.04630045,-0.10203875,-0.042845152,-0.101393886,-0.2362002,0.21376185,-0.08183113,-0.17043339,-0.16873604,-0.15105052,-0.19649835,-0.1510912,-0.15784322,0.06699229,0.23569244,0.13334504,0.12039093,0.093403876,-0.1625486,-0.11714404,-0.16408524,0.14694107,0.1880153,0.07309127,-0.1602279,0.18341945,-0.06502262,-0.17750077,-0.07614692,-0.19867867,0.10071722,-0.2315056,0.19847764,0.16053359,-0.018062824,0.18235481,-0.17663732,0.17943263,-0.259172,-0.19312577,0.20308742,-0.12348499,-0.0960919,0.2021166,0.1337392,0.16917735,0.20000203,-0.026662815,-0.11431864,0.20788851,0.09496086,0.12133446,-0.035854023,-0.14006205,-0.088355295,-0.13369143,0.18815526,-0.23834574,-0.14879191,0.052055698,0.041263375,-0.17978695,-0.15513124,0.09062814,-0.14512222,-0.003513383
conf_8,-0.21889442,-0.09764274,0.09888797,0.03981724,0.25688896,0.1924627,0.108991615,0.16131516,-0.154112,-0.08755672,0.07116106,0.19775568,-0.1959912,0.1408608,-0.15661596,0.11114622,-0.15240726,0.0787206,-0.17502663,-0.06829474,-0.08510362,-0.16473593,0.23890424,-0.16748536,0.16117516,0.11564471,-0.19368598,-0.14761747,-0.16348839,0.07602433,-0.02443738,-0.04807693,0.08803297,0.20802726,0.0599439,-0.11092519,-0.16914816,-0.13563049,-0.15872316,0.13180003,-0.07445032,-0.2135742,-0.20343575,-0.070805386,-0.15264729,-0.14498739,-0.07430087,0.22687508,0.2316738,0.15401149,0.21883708,0.14063622,-0.07337842,-0.21574758,-0.16897981,0.18708374,0.14802106,0.08046662,-0.03278931,0.08416912,-0.21811369,-0.20354162,-0.110274374,-0.083916955,0.1897411,-0.15204878,0.15223327,0.18940967,0.04817923,0.22814415,-0.14158952,0.06965173,-0.07324718,-0.17648743,0.072287306,-0.1727872,-0.17316872,0.14857538,0.17800377,0.1974545,0.09212465,-0.061692037,-0.104321964,0.12211437,0.062406853,0.22331272,-0.11211514,-0.12321066,-0.065806784,-0.2218093,0.07363508,-0.23308401,-0.065978914,0.13268563,0.14369835,-0.16575009,-0.108291194,0.16776422,-0.18645814,-0.1694766
conf_9,-0.024286063,-0.19556898,0.17790018,-0.0054413155,0.09188194,0.069730856,0.068939544,0.10894098,-0.15669633,-0.06998232,0.18864064,0.13765144,-0.14633177,0.14845598,-0.14846665,0.1403135,-0.042906523,0.049153827,-0.119230196,-0.033469256,0.038863182,-0.267921,0.21046796,-0.13024993,0.19923298,0.14682315,-0.105257854,-0.09027479,-0.1511364,0.020310853,0.030017566,-0.1391237,0.07052863,0.25524536,-0.2265175,-0.1772453,-0.08524045,-0.10072616,-0.14385352,0.16281787,-0.044520248,-0.17460859,-0.08590503,-0.055929605,-0.16912599,-0.22397467,-0.17841971,0.06895056,0.27357826,0.17734432,0.2376903,0.08065782,-0.2831584,-0.1725701,-0.093270786,0.102773406,0.14780234,0.13409169,-0.023570146,0.17522578,-0.092701845,-0.26419798,-0.10203792,-0.08185583,0.15922669,-0.16313663,0.262971,0.20814781,-0.047220655,0.12318845,-0.20128404,-0.29517126,-0.06056551,-0.04409351,0.15256976,0.13105728,-0.18839522,0.105400905,0.18680902,0.08872437,0.18171695,0.011212488,-0.22908968,0.12773043,0.15080558,0.18638957,-0.05487321,-0.13840653,-0.08410749,-0.20497906,0.072760284,-0.17568007,-0.11609866,0.14530079,0.065257646,-0.106588446,-0.19123533,-0.010945888,-0.16429844,-0.14890212
