problem,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127,p_128,p_129,p_130,p_131,p_132,p_133,p_134,p_135,p_136,p_137,p_138,p_139,p_140,p_141,p_142,p_143,p_144,p_145,p_146,p_147,p_148,p_149,p_150,p_151,p_152,p_153,p_154,p_155,p_156,p_157,p_158,p_159,p_160,p_161,p_162,p_163,p_164,p_165,p_166,p_167,p_168,p_169,p_170,p_171,p_172,p_173,p_174,p_175,p_176,p_177,p_178,p_179,p_180,p_181,p_182,p_183,p_184,p_185,p_186,p_187,p_188,p_189,p_190,p_191,p_192,p_193,p_194,p_195,p_196,p_197,p_198,p_199
f1_i1,0.088199556,0.21913035,-0.15644981,-0.15145549,0.17393634,0.1429402,0.06635004,0.18725148,-0.45637056,0.09479575,0.030340903,0.05930929,-0.18760361,-0.17937274,-0.23889676,-0.13066575,-0.2559596,0.14170136,-0.21871766,0.26127067,0.0070839906,-0.106033504,-0.19940813,0.3030948,0.28136578,0.17516845,0.37621856,0.16120405,-0.18158989,-0.22008224,-0.20644967,0.15200192,0.0475046,0.2633262,-0.17345251,-0.28165162,-0.22888547,-0.08270538,-0.18643577,-0.11765762,-0.25643426,-0.34558013,-0.09606044,0.34021154,0.12750208,-0.21492624,0.07991918,0.008492835,-0.09835051,-0.31177834,0.025108062,-0.007475606,-0.3687229,-0.20641367,-0.23537494,0.17025855,-0.0026182707,0.005065646,0.12587152,-0.15022263,0.102772765,0.20470703,0.27317724,0.17674261,-0.15967721,-0.28468907,0.33912462,-0.28602728,-0.08796786,0.36357552,-0.24784401,0.068330474,-0.18756193,0.11986702,0.17633392,0.27120507,0.35636067,-0.22902663,-0.25637388,-0.13849397,0.001111506,0.34285852,-0.024657603,0.15229064,0.3510515,-0.26462916,0.359594,-0.1935603,0.044559408,0.20805313,-0.150352,-0.47189492,0.23709996,-0.063842334,-0.06697295,0.011359254,-0.0987697,0.2032099,-0.09264206,0.14998472,0.02278671,-0.11651177,0.37308377,-0.055856925,0.25567767,-0.14849946,-0.16416676,-0.05427738,-0.16289441,-0.050819736,-0.13564605,0.25767747,-0.29503697,-0.011612434,-0.0132240085,0.06110289,-0.076769225,-0.15353285,-0.040848304,-0.10961486,-0.1425786,0.18858375,-0.12725732,-0.14088014,-0.33100003,0.3754418,0.17206214,0.21279588,-0.42469126,0.18869536,0.026211536,-0.2349021,-0.37640136,-0.04052478,-0.4878209,0.31279626,-0.20551577,-0.10749574,-0.16530998,0.20913517,0.14763893,0.113272496,0.16690513,-0.03698149,0.104376346,-0.1783032,0.11008444,-0.198702,0.1930947,-0.25430724,-0.31344375,0.17070729,0.3371086,-0.1663466,0.19135803,-0.27048478,0.10461078,0.104348905,-0.17480202,-0.084348686,-0.18799202,0.15243542,-0.19458032,-0.23355724,0.06961907,-0.22902599,-0.01805996,-0.19707993,-0.18648763,-0.28846133,-0.13942398,0.16920279,0.1901595,0.2416414,-0.039180618,-0.14611919,0.156061,-0.21275206,0.12330877,-0.08656008,-0.4756886,-0.23419447,0.32220003,-0.15738884,0.17900074,0.19202913,-0.27552623,-0.033622153,0.1765647,-0.1743162,0.074867435,-0.3366983,-0.15544465,0.18816102,0.20905496,0.12866235,-0.17917113,0.40865955,0.16658923,-0.24594645
f1_i2,0.10129385,-0.0150908595,-0.11181328,-0.15132761,0.19493715,0.12652247,-0.02401952,0.28935447,-0.3542888,-0.07813797,-0.0509857,-0.02716341,-0.27027833,-0.20120223,-0.14163639,-0.14510506,-0.17734894,0.17555116,-0.26410192,0.2770532,-0.41725385,0.05907791,-0.21290529,-0.11422424,0.2641958,0.15927897,0.516215,0.120925575,-0.05480062,-0.10556368,0.052892692,0.22592258,0.34681383,0.15013777,-0.14250894,-0.21664186,-0.105244435,-0.22090554,-0.051623356,-0.21425143,-0.38201913,-0.19503258,-0.0052181105,0.17922018,0.14214614,-0.09453463,0.13738622,-0.27657583,-0.21330994,-0.14290495,-0.049216714,0.0304617,-0.08703267,-0.08701309,-0.1454273,0.45585123,0.03012265,0.07069271,0.076748714,-0.0044670613,0.1050424,0.082672976,0.15846556,0.1333757,-0.23524784,-0.25788718,0.30749,-0.21116178,-0.04679973,0.50920624,-0.21992198,0.12802233,-0.11945429,0.15568365,0.182918,0.15045363,-0.09341737,-0.28439277,-0.15886497,-0.16234352,0.020084312,0.1198741,-0.15126698,0.15441023,0.04161112,-0.1365016,0.21715759,-0.099139035,0.09733612,0.11294629,-0.14649574,-0.008083805,0.1289519,-0.19347909,-0.0023684108,0.10624444,-0.0424378,0.3279468,-0.2177714,0.18157582,-0.36450112,-0.22354558,0.15091439,-0.22156857,0.22739208,-0.10058001,-0.11223797,-0.11648628,-0.028705025,-0.3322579,-0.27964258,0.10659291,-0.049868822,-0.1489712,-0.12570477,0.08382123,-0.16916183,-0.23541175,-0.25258583,-0.08223422,0.22208682,0.22331195,-0.008545604,-0.2345465,-0.30325615,0.3620076,0.2042515,0.099433355,-0.33918485,0.11794603,-0.15055907,-0.30662045,-0.25274485,0.13691305,-0.42129007,0.32564822,-0.16056807,-0.008276484,-0.15696307,0.21959592,-0.013234793,0.09029015,0.14084783,0.046441358,0.24195886,-0.01907648,0.024441153,-0.12723675,0.14215893,-0.29041678,-0.36390305,0.26983815,0.18525319,-0.41783547,0.19355269,-0.2643975,0.22837602,0.16580345,-0.12672743,-0.23447761,0.03834821,0.10611304,-0.22401488,-0.237556,0.11129774,-0.21247791,-0.1250708,-0.3508396,-0.28208742,-0.018429473,-0.05177979,0.27230763,0.11272418,0.20603858,0.116555005,-0.16747451,0.28362498,-0.26387253,0.08302037,-0.0287268,-0.36237222,-0.30757394,0.19975056,-0.13620442,0.13481282,0.14783804,0.28798315,-0.07200388,0.20409924,-0.087292425,0.11384462,-0.39338836,0.1361077,0.2649336,0.22567758,0.15567581,-0.34683424,0.27204025,0.26118016,-0.21637934
f1_i3,0.18063785,0.15251115,-0.123515524,-0.2025773,0.13916913,0.13828209,0.22056507,0.043511365,-0.36245742,0.19747202,0.11584813,0.063695446,-0.21021664,-0.19798227,-0.21502481,-0.23370343,-0.090388685,0.22302803,-0.29595515,0.13950045,-0.03387817,-0.07114827,-0.13685152,0.279528,0.23761718,0.041517906,0.5232188,0.1851808,-0.24689579,-0.16736883,-0.28264785,0.1932058,0.19940437,0.13583378,-0.1287867,-0.26573455,-0.2076552,-0.16938269,-0.1852532,-0.04104419,-0.4356,-0.1556251,-0.23580842,0.23977521,0.17763183,-0.23987049,0.14521205,-0.015336124,-0.014089577,-0.18596648,0.038752697,0.08266478,-0.32652944,-0.22520141,-0.124497905,-0.052319992,-0.09606112,0.064460605,0.14446776,-0.04762119,0.23014836,0.08084133,0.12362245,0.2489215,-0.2393024,-0.314263,0.30299935,-0.21953003,-0.0977671,0.2743528,-0.13635562,0.019865554,-0.21775873,0.19699085,0.15491079,0.2287008,0.22263841,-0.25111035,-0.20004563,-0.0874787,-0.18242414,0.1632926,-0.0768448,0.08351718,0.17736448,-0.13761179,0.273851,-0.1590588,-0.018853854,0.21422711,0.030594792,-0.42718327,0.20122726,-0.15476683,-0.06631125,0.00870033,-0.17381835,0.28389022,0.021727497,0.10047595,0.27838802,-0.0780652,0.29140264,-0.06670271,0.24526282,-0.12889452,-0.09246844,-0.038331717,-0.06557207,-0.35906655,-0.12371055,0.20179942,-0.14532332,-0.21460174,-0.02029131,0.027953934,-0.08755969,-0.12198718,-0.08985155,-0.17884146,0.0691925,0.37881276,-0.14637087,-0.06706588,-0.32380813,0.29038396,0.41200376,0.019636922,-0.30831707,0.100296386,0.08855952,-0.23900507,-0.23541194,0.010445911,-0.381727,0.33159655,-0.15113695,-0.22770776,-0.017769435,-0.10318727,-0.02176527,0.19077855,0.14312102,-0.08389951,0.061363593,-0.12326104,0.08735739,-0.2953597,0.12582456,-0.22601804,-0.45491114,0.30315346,0.3601465,-0.16517618,0.19787057,0.01125891,0.13747548,0.23988645,-0.33217543,-0.21998316,-0.10686566,0.14466093,-0.13731864,-0.12875459,0.007889643,-0.31687286,-0.2920954,-0.2626497,-0.12871967,-0.13098758,-0.13897005,0.09543561,0.1329662,0.19798824,-0.46825826,-0.14634304,0.063813396,-0.1460576,0.21951415,-0.0815292,-0.44807532,-0.16772322,0.27396032,-0.18358321,0.104878835,0.17678623,-0.041101895,-0.18830001,0.22057642,-0.15390058,0.17552595,-0.30661926,-0.15410404,0.14868514,0.09168059,0.19651747,0.0882495,0.08287893,0.28476083,-0.25445336
f1_i4,0.16740443,0.13265175,-0.1857795,-0.14510544,0.10814336,0.109241836,0.085362196,0.30295175,-0.3584983,0.09151401,0.12784944,0.010327614,-0.3673474,-0.18812124,-0.15000728,-0.17826661,-0.28616655,0.094945684,-0.23837262,0.18432777,-0.15118255,0.060063507,-0.3081897,-0.11462922,0.32413998,0.20419915,0.4521545,0.22016053,-0.18386775,-0.12663777,-0.17964584,0.103036195,0.2539896,0.23087886,-0.11554086,-0.21952146,-0.48034218,-0.103248686,-0.163375,-0.16283445,-0.39414793,-0.17697774,-0.11246519,0.22355978,0.17081635,-0.13262919,0.0008491559,-0.32925302,-0.11684267,-0.4431175,0.047940426,-0.1276282,0.109575436,-0.22070216,-0.15459299,0.16316666,0.036153104,0.035243325,0.15519142,-0.3512469,0.16323885,0.17468832,0.033346795,0.073039584,-0.20946908,-0.16328824,0.25441536,-0.14287734,-0.17791629,0.47616404,-0.25066653,-0.06300913,-0.13830638,0.17107786,0.2626339,0.16352388,0.06364353,-0.20842679,-0.14938416,-0.086140074,-0.2860759,0.13087685,0.00041911402,0.25579098,0.06276814,-0.15509795,0.49199507,-0.19542202,0.122293,-0.038788397,-0.21688423,-0.3886197,0.25008586,-0.08221241,0.06814338,0.0103547005,-0.068727575,0.30531278,-0.018096734,0.16014619,-0.31610188,-0.12086773,0.26306233,-0.06763952,0.10156088,0.027386602,-0.13426068,-0.13199987,0.09014735,-0.3269148,-0.10861535,0.32726252,-0.20739667,-0.2595719,-0.22730033,0.034679025,-0.15522774,0.0072648586,-0.15208934,-0.00019868222,0.2472034,0.24450287,-0.15469678,-0.10272639,-0.38647902,0.25819045,-0.12179649,0.14516418,-0.2778872,0.18476424,-0.0918217,-0.24501714,-0.29548028,0.13167134,-0.39545706,0.32549095,-0.09989212,-0.13219896,-0.13716926,0.11216184,0.28904665,0.07985453,0.1339096,-0.10761102,0.09901363,0.08068014,0.060687676,-0.18832323,0.1460537,-0.43033093,-0.1673244,0.09926375,0.3133847,-0.28165743,0.21812001,-0.12883307,0.06666244,0.2797293,-0.40407845,-0.2989278,-0.18778342,0.13342242,-0.21106723,-0.2067134,0.156321,0.11458343,-0.39187154,-0.1962976,-0.2213987,-0.0774318,-0.14422034,0.26664996,-0.0031725413,0.2010472,-0.070648156,-0.06854818,0.21846533,-0.27142808,0.15043698,-0.06902578,-0.4203186,-0.22851728,0.22729598,-0.15504235,0.034487966,0.11841209,-0.030636482,-0.06216121,0.19292594,-0.14691466,0.11619917,-0.30970016,-0.047548655,0.21542366,0.27787185,0.09884027,-0.29174015,0.3680902,0.25235495,-0.16354337
f1_i5,0.20857126,0.06387744,-0.12085501,-0.18613291,0.17090665,0.15185682,0.11190919,0.14720964,-0.46669623,0.07531357,0.0001439761,0.034473114,-0.2497848,-0.14413667,-0.22337079,-0.1603499,-0.26467618,0.23275036,-0.27313718,0.17695576,0.003756728,0.03118814,-0.1646553,0.07977011,0.28198913,-0.0074817953,0.3073189,-0.045048486,-0.15154554,-0.18973121,-0.22802508,0.3844556,0.26183674,0.12808523,-0.24444786,-0.13096792,-0.37395957,-0.11614365,-0.26794213,-0.08278695,-0.5156049,-0.24357748,-0.17932865,0.21414936,0.011139576,-0.2212593,0.014943116,-0.11195431,-0.21225886,-0.011048616,-0.1850931,-0.12054996,-0.24091284,-0.07140209,-0.23398003,0.36491433,-0.24440587,-0.07624019,0.20149173,-0.26719043,0.21102004,0.13771532,0.116760164,0.25849864,-0.2399902,-0.21062072,0.25813365,-0.085246585,-0.14714794,0.33396396,-0.20390312,0.13062978,-0.1942649,0.09768462,0.08019639,0.14120193,0.29672384,-0.13314806,-0.14874764,-0.14293161,0.34914032,0.13738129,0.08858149,0.18872748,0.26384062,0.00085778243,0.35949692,-0.16723175,0.013024166,0.32137704,-0.1321761,-0.36813527,0.13856861,0.0052674715,-0.03727465,-0.15807375,-0.030967796,0.24105045,0.012372984,0.13110276,0.021606214,-0.07425126,0.2260167,0.09577351,0.34308282,-0.13311216,-0.16828509,-0.1518393,0.11096907,-0.14819631,-0.16108344,0.3697447,-0.141394,-0.20115647,-0.056755938,0.026092233,-0.15405978,-0.15789482,-0.3443811,-0.05084705,-0.09012568,0.18165967,-0.26465657,0.007677261,-0.28718054,0.24811965,0.1552862,0.1508908,-0.33027387,0.21857673,-0.08662245,-0.10448462,-0.3478291,0.09386657,-0.45870695,0.24361515,-0.18157084,-0.16817641,0.04026647,0.007646592,-0.21734232,0.11055693,0.06279114,-0.17434706,0.24100928,-0.0035310497,0.14596061,-0.1332447,0.25249133,-0.29581437,-0.485239,0.008164523,0.14355396,-0.3184841,0.23478028,-0.25384036,0.16995691,0.1243617,-0.31448743,-0.22913751,-0.36247057,0.19879082,-0.09947265,-0.19669151,0.04613129,-0.05073175,-0.2202589,-0.32623687,-0.13888876,-0.20634973,-0.060163368,0.26538515,0.14233418,0.15337425,-0.08152523,-0.15478607,-0.0745991,-0.2292899,0.16240387,-0.28404242,-0.38680062,-0.07643626,0.18986794,-0.153291,0.044420086,0.13661511,-0.20342076,-0.15536663,0.31717303,-0.16971764,0.2480216,-0.27141047,-0.14345582,0.36315194,0.2655609,0.30793822,-0.12592436,0.28416103,0.2042244,-0.15928492
f2_i1,0.08584007,0.13975431,-0.21912219,-0.16493042,0.116354525,0.17791957,0.070609644,0.33271414,0.0013880604,-0.24873981,0.15708037,-0.27282265,-0.40332678,-0.13837688,-0.05365894,-0.19020951,-0.17793769,0.2409778,-0.23144014,0.11518359,-0.095516495,0.112523265,-0.122163035,-0.1943101,0.28723818,0.08449661,0.06393124,0.13672933,-0.20277202,-0.2749977,-0.021571266,0.25163925,0.28224754,0.16581616,-0.25238025,-0.13788685,-0.08554691,-0.25711203,-0.047052342,-0.15624261,-0.11365929,-0.09571774,0.07707957,0.17711592,0.1954768,-0.19594687,0.20487742,-0.1560912,-0.24946705,-0.042832643,0.036157787,-0.14176156,-0.36285397,-0.39796788,-0.22195166,-0.06044246,-0.21942614,0.046670996,0.14796944,-0.24489346,0.10708138,0.16517031,0.18726695,-0.09636033,-0.06695179,-0.11206825,0.34372488,-0.18387394,-0.085616216,0.29188505,-0.2335107,-0.19200726,-0.25888085,0.3294281,0.20102029,0.29580992,-0.1923142,-0.18273987,-0.16445553,-0.26186252,-0.5710948,0.11397477,-0.3745581,0.20979615,-0.053457003,-0.13729025,0.28631595,-0.22391729,0.058795933,0.18750966,-0.016143622,-0.13340876,0.20956497,-0.034969576,-0.5338478,0.22190142,-0.042287346,0.28340623,-0.3229904,0.21460311,-0.1588241,-0.13583827,0.19748063,-0.2262716,0.3207057,-0.07173357,-0.14800176,-0.047825042,-0.332816,-0.06539418,-0.18001367,0.07647962,0.12929863,-0.27905905,-0.11734063,0.16518083,-0.19045094,0.092249736,-0.25562933,-0.08055419,-0.011503384,0.12586537,-0.20519716,-0.08275176,-0.46439838,0.23502117,0.32177687,0.09879956,-0.1299711,0.14466959,0.028458651,-0.08432811,-0.21543093,0.37251732,-0.21651907,0.37019625,0.2937614,-0.21966504,-0.36426428,-0.29544133,0.104923084,0.1629089,0.13865358,0.10267516,0.13319843,0.26128533,0.0018326577,-0.21774071,0.1627292,-0.18483421,0.29663542,0.25708726,0.21237008,0.31648326,0.18052915,-0.2183317,0.23154251,0.24268225,-0.46615586,-0.15627798,0.09397362,0.097548276,-0.055419058,-0.30934042,0.14572082,-0.26760992,-0.06637953,-0.34193978,-0.12924166,0.105534695,0.009569141,0.1619799,0.058191277,0.12666568,0.15724067,-0.28324592,0.24973264,-0.008445272,0.10532076,-0.18643047,0.012296521,-0.078108944,0.19637749,-0.1046321,0.10898102,0.17717649,0.18572736,-0.3372259,0.22766694,-0.10370786,0.19359767,-0.34492686,0.3060813,-0.015893487,0.17608555,0.12384008,-0.2629576,0.13207094,0.07016768,-0.13993105
f2_i2,-0.05112984,0.16782713,-0.12591271,-0.2367301,0.012370973,0.07925815,0.015785825,0.49161255,-0.07994436,-0.27414688,0.20074211,-0.27785385,-0.2862008,-0.11113557,-0.20260562,-0.10935711,-0.11709368,0.22377153,-0.1833372,0.22570212,-0.34404382,0.12982146,-0.2165086,0.045751903,0.25901368,0.14791311,0.0069468827,0.12509212,-0.24375892,-0.16912036,-0.21039134,0.15354858,0.26483983,0.07756052,-0.29417393,-0.3169014,0.025076982,-0.25036496,-0.16134247,-0.18286428,-0.36976877,0.09328622,-0.03264567,0.16953741,0.14427045,-0.072291106,0.1323605,-0.10335398,-0.22365728,0.1541538,0.30125675,0.1763002,-0.15524366,-0.3257755,-0.23078609,-0.30552334,-0.23226897,0.1885377,0.1080349,-0.10211873,0.19829202,0.16593958,0.22542948,-0.04538897,-0.21681997,-0.27036732,0.30839202,-0.0058593503,-0.1883737,0.34918785,0.032080173,-0.21895517,-0.054769594,0.2590204,0.14302278,-0.007197248,0.05339251,-0.05858854,-0.047357097,-0.14584519,-0.5319252,-0.117383346,-0.14385003,0.20169294,0.2185241,-0.23141573,0.08650831,-0.13366075,0.19284293,-0.037068713,-0.20611967,-0.3417532,0.14807521,-0.24317974,-0.15384227,0.023459844,-0.04719914,0.29928663,-0.27087328,0.1985011,-0.4169445,-0.12843953,0.15445895,-0.22394843,0.34841442,-0.1437366,-0.024718028,-0.16869415,0.0055928975,-0.27806073,-0.15247068,0.19119935,0.26494205,0.020982884,-0.12400824,0.19301862,-0.19748971,-0.53800446,-0.23085888,-0.07200413,-0.058166772,0.25736275,-0.15205505,-0.0368892,-0.36698395,0.023539688,0.16869612,0.084257595,-0.23054239,0.12691888,-0.11229436,-0.053842694,-0.32059425,0.26263124,-0.42227015,0.24674241,-0.09621319,-0.22294824,-0.20631726,-0.5341297,-0.20373206,0.1793569,0.23205958,-0.04611932,0.34127957,0.13007358,0.007957068,-0.28313857,0.16715412,-0.16922206,0.49540827,0.15416838,0.27447712,0.29322293,0.17173843,-0.19597228,0.2046785,0.03172244,-0.39945647,-0.22546963,-0.5004814,0.084221035,-0.124400534,-0.1210567,0.21395363,-0.1640323,0.13210784,-0.31660625,-0.2782343,0.020725628,-0.13854256,0.11773925,0.17315726,0.15112706,0.13123314,-0.11915105,0.21015008,-0.030475887,0.32124043,-0.29779038,-0.28787306,-0.18274288,0.18905257,-0.09261703,0.15055674,0.14514257,0.31839767,-0.34907615,0.12909268,-0.23477125,0.11376836,-0.1843749,0.08264003,0.22285071,0.1793635,0.09632895,-0.2990992,-0.15403189,0.15407343,-0.1180489
f2_i3,0.13740489,0.062125657,-0.24096382,-0.33797908,0.16536926,0.21908127,0.22069727,0.32820758,-0.36182514,-0.17063771,0.101638824,-0.14110985,-0.39956227,-0.23354474,-0.06670466,-0.1609311,-0.10247571,0.1632309,-0.13300207,0.101306416,-0.20944124,0.21368271,-0.073381476,-0.23945262,0.25643426,0.16195206,0.19962445,-0.08962454,-0.21787369,-0.24235387,-0.22126406,0.22815989,0.2764546,0.09219793,-0.16472657,-0.2259578,-0.05600053,-0.17650725,-0.018116996,-0.13410056,-0.17072445,-0.31568024,0.06834955,0.08432074,0.17564772,-0.25033146,0.1797985,-0.16810893,-0.3254444,0.14458364,0.25904524,-0.20103547,-0.035564255,-0.08090856,-0.108728155,0.025363073,-0.099268906,0.19172722,0.10998835,-0.3399404,0.021556448,0.18938376,0.17299275,-0.103237696,-0.18971549,-0.17412017,0.22540176,0.04898993,-0.15362525,0.11438816,-0.13548757,-0.11376218,0.009817233,0.2788696,0.17780884,-0.11165784,0.12776445,-0.19502406,-0.21200755,-0.11775169,-0.5091469,-0.19099903,-0.29808226,0.19491331,-0.018660728,-0.07630337,0.12197259,-0.2386309,0.12377872,0.21079326,-0.28233933,-0.037550855,0.31686616,-0.13802692,-0.066668995,0.16962889,0.012662675,0.2539971,-0.051809862,0.18562706,-0.2505671,-0.22416486,0.17800972,-0.081848174,0.17595708,-0.035735242,-0.20760842,-0.1598093,-0.4858775,0.15158173,-0.16939434,0.17768495,0.03247355,-0.30636406,-0.2669172,0.112014525,-0.26166764,0.09178179,-0.14631005,-0.18974265,0.50529075,0.1435625,-0.3189506,-0.14565882,-0.44691464,0.15298362,0.2739375,0.19950686,-0.1285974,0.2069248,-0.15510914,-0.27020085,0.0055008847,0.2706354,-0.46694016,0.21911956,0.1403614,-0.15531144,0.064410254,-0.13196835,0.06690917,0.18280894,0.025647776,0.18166476,-0.004491326,0.25284445,0.018322904,-0.11917035,0.050884105,-0.23886673,0.04807548,-0.121083006,0.16371202,0.04358511,0.22281906,-0.22300541,0.2252482,0.02642045,-0.051208224,-0.192815,-0.2019906,0.16015092,-0.24317244,-0.22775948,0.11675979,-0.1427236,-0.015749555,-0.26719233,-0.13989198,-0.17064747,-0.27439,0.2651983,-0.2513367,0.21758509,0.058961064,-0.30319777,0.2579511,-0.056778107,0.25731692,-0.22885484,-0.27135867,-0.27143833,0.2837567,-0.13800688,0.19089477,0.19385421,0.26207656,-0.311399,0.123024225,-0.13351744,0.14623767,-0.14257263,0.092323184,0.15415196,0.18757842,-0.005912367,-0.18136202,-0.11042401,0.28399917,-0.05851861
f2_i4,0.06518212,0.33897594,-0.15654014,-0.28181773,0.0044405325,0.24194138,-0.08590855,-0.05087768,-0.17790519,-0.14773148,-0.0069718994,0.021517845,-0.37893936,-0.2572406,-0.055076674,-0.14051227,-0.21689415,0.28129125,-0.17414089,0.18684863,-0.28231624,0.14331938,-0.15586966,-0.23679772,0.123583585,0.37346804,0.20622389,0.1669345,-0.3344243,-0.24034674,-0.16533172,-0.2106307,0.23739545,0.034690436,-0.089390986,-0.19028774,-0.15193862,-0.081771724,-0.25034148,-0.021778867,-0.2447834,-0.19067018,0.04722063,0.22451925,0.15213463,-0.1195804,0.18902878,-0.37199926,-0.24691081,0.2713202,0.20558226,0.09250188,-0.4459995,-0.31295595,-0.21799994,0.08184646,-0.07511868,0.09358918,0.115397684,-0.30165884,0.10583574,0.1543271,0.21616253,-0.13726841,-0.11386189,-0.21504813,0.2859063,0.15734118,-0.24403,0.2153198,-0.19664462,-0.05210384,-0.22129327,0.25581777,0.22556184,0.26648644,0.3323476,-0.16627547,-0.17240323,-0.11617313,-0.6421022,0.14620422,-0.27085,0.038444035,-0.034148976,-0.21319002,0.1307365,-0.20193683,0.031574108,0.13064529,-0.0926723,-0.43855816,0.104093835,-0.07939433,-0.33485106,0.12632598,-0.09761477,0.3472213,-0.36989367,0.14239196,-0.075036906,-0.11445642,0.23904936,-0.19011867,0.3236498,-0.084737234,-0.03373616,-0.1491477,-0.31191024,-0.08289111,-0.18794966,0.30077422,0.3645359,-0.09228668,-0.13216834,0.056489285,-0.25556055,-0.11366609,-0.09380342,-0.16392851,-0.12852411,0.3004132,-0.22898094,-0.045977943,-0.028524412,-0.00091646344,0.14824948,0.16974194,-0.3868446,0.19175632,-0.11488026,-0.37338647,-0.07272586,0.25306684,-0.29959673,0.053439774,0.13480109,-0.23109202,-0.24847749,-0.12892085,-0.122520015,0.15678224,0.30387264,0.3168445,0.046416745,0.10456012,0.1374218,-0.08052816,0.14495657,-0.07443931,0.37430972,0.25870645,0.19138141,-0.0017489957,0.14109354,-0.11688383,-0.022639198,0.10596941,-0.4883429,-0.22306621,0.0967576,0.17216341,-0.09033668,-0.22785696,0.06171802,-0.16238235,-0.094154835,-0.34913173,-0.06820888,-0.017392745,-0.0996811,0.19082811,0.2125377,0.17451207,0.0045166016,-0.2876238,-0.02027226,-0.1584324,0.26247597,-0.10741774,-0.18056045,-0.23563856,0.21555275,-0.19346064,0.22857347,0.088508815,0.3943052,0.003390741,0.16874528,-0.03664589,0.1548269,-0.3123265,0.2306768,0.045723543,0.12634432,0.11641756,-0.13843183,0.041668642,0.14846061,-0.20122547
f2_i5,0.11625155,0.0070160436,-0.20317759,-0.3114304,0.06178629,0.24996927,0.10667027,0.07608314,0.030616796,-0.1794304,0.19315287,-0.060746294,0.015195649,-0.20448516,-0.16011597,-0.051130906,-0.27455804,0.23746185,-0.14695515,0.24984254,0.056108393,0.30131426,-0.2944597,-0.2928652,0.17584352,0.32210547,0.26018813,0.005286087,-0.2852721,-0.15781857,-0.07300925,0.02216164,0.30032793,0.12973303,-0.18364283,-0.24844827,-0.045296203,-0.12542789,-0.15585726,-0.15709342,-0.24484846,0.09066681,0.056656882,0.17310356,0.1628438,-0.17556399,0.21170527,-0.28689766,-0.09687869,0.2981539,0.15162762,-0.25657967,-0.27300465,-0.32642815,-0.1506762,0.05312198,-0.071715765,-0.017863272,0.1737781,-0.38284507,0.08582097,0.08920954,0.20978852,-0.11726334,-0.28767538,-0.0515325,0.17327195,-0.31428802,-0.19759434,0.17890368,-0.10327732,-0.16355601,0.15146902,0.10411508,0.12547654,0.21975802,0.14492604,-0.13187371,-0.14108053,-0.143273,-0.5134798,0.24620396,-0.37931585,0.23577239,0.08650243,-0.12472434,0.1224821,-0.27702424,0.17203914,0.23885965,-0.15057282,-0.21555518,0.18261707,-0.11325155,-0.2687613,0.19142027,-0.2100796,0.2443613,-0.21359783,0.26785573,-0.31268403,-0.18551463,0.2794231,-0.20270787,0.242565,-0.13716303,-0.07185652,-0.15436807,-0.20843588,0.14287472,-0.30227932,0.28291953,-0.058434192,-0.20748615,0.024039937,0.38108674,-0.16650707,-0.30659014,-0.14005487,-0.12849702,0.32809746,0.05226336,-0.1688562,-0.20082057,-0.31510803,0.057081625,0.4875998,0.17727278,-0.036435097,0.18574806,-0.35825646,-0.25270933,0.0032696056,0.18635526,-0.37201375,0.26989985,0.1682742,-0.18655224,-0.22711489,-0.15500094,-0.26233014,0.19831853,0.04631446,-0.033574395,0.18974426,0.13793269,0.15590045,-0.09386186,0.04879305,-0.10230975,0.60657287,0.0975924,0.26940703,-0.09769888,0.017210314,-0.33752918,-0.006538679,0.12613714,0.034659397,-0.17858826,-0.3503256,0.14526987,-0.28951234,-0.073445655,0.12992963,-0.32027948,-0.047649443,-0.2096632,-0.13895284,-0.16320333,-0.020130131,0.17423934,-0.22411086,0.2489244,-0.0030183261,-0.2464356,0.15545045,-0.2847033,0.22830506,-0.19471315,-0.20813146,-0.2694979,0.24097164,-0.18604146,0.18149596,0.2053707,0.28467914,-0.075738825,0.06330575,-0.23872429,0.070823275,-0.21233395,-0.033910196,0.23984985,0.11057405,0.1448524,0.1631543,-0.19933493,0.25902432,-0.11860575
