problem,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99
f1_i1,0.17440918,-0.0065991106,0.6016466,-0.2933826,-0.35617396,0.27981195,-0.1688384,-0.22746761,0.14252469,-0.24500597,0.16662847,-0.399281,0.12702371,-0.2644561,0.124390796,-0.3065865,-0.32777542,0.37053773,0.011932855,0.08420801,-0.20913027,-0.31908038,-0.25751364,0.2599593,-0.21825397,0.5197208,0.44314352,0.088554785,0.26754704,0.12652853,-0.042819183,-0.21634398,0.4976574,0.29049385,0.34039077,0.14663255,0.11170236,-0.37020916,0.2628958,-0.15073939,-0.09017098,0.4266736,0.2899707,0.07671285,0.12570432,0.3025753,-0.53606206,0.14876394,-0.16035688,0.23507446,-0.16108896,0.24738495,0.15290952,-0.03505141,-0.06739302,-0.018532848,-0.062496968,-0.13146399,-0.11555691,0.016904494,-0.03409143,0.059812453,-0.3071422,-0.20498237,-0.1381353,0.4799583,-0.13927227,-0.48661906,-0.18308017,0.18373036,0.096166745,0.05693498,-0.052601762,0.3131264,-0.2189086,0.47744015,0.0821212,-0.17053485,-0.1727089,0.12902631,0.23668149,-0.03233547,-0.1706893,-0.24990374,-0.34883952,-0.104584806,-0.15238953,0.048238546,-0.23024693,-0.4064539,-0.17281026,0.13424435,-0.17599499,-0.26700518,0.11468975,-0.189423,-0.66346055,0.28581136,0.12948784,0.25546804
f1_i2,0.27996746,0.059750263,0.4227724,-0.3965315,-0.30064145,0.24865533,-0.37206444,-0.29515663,0.23007666,-0.05068839,0.122806415,-0.44150198,-0.118757464,-0.16421251,0.1965572,-0.43814945,-0.22675613,0.18747048,0.20399694,0.090471625,-0.119471215,-0.14363967,-0.37595665,0.09926507,-0.16936755,0.53546304,0.08225198,0.27156222,0.026286613,0.09381905,0.034103222,-0.3566502,0.49192086,0.17945336,0.34355724,0.19274606,-0.03276113,-0.350952,0.16704042,-0.22368383,-0.15950464,0.44480926,0.30455914,-0.08198661,0.2104941,0.24465449,-0.3086487,9.129753e-05,-0.2835483,-0.021090029,-0.176259,0.25112948,0.061390713,0.120585345,0.08788125,0.02695188,-0.14536783,-0.10354165,-0.030386498,0.03189974,0.1384013,-0.04319188,-0.41905898,-0.016058002,-0.13827704,0.5039212,-0.15110098,-0.23104852,-0.26731125,0.089043394,0.30702227,0.21353608,-0.0609329,-0.2901511,-0.25718233,0.031191198,0.2504774,-0.23014238,-0.23521495,0.32353917,-0.16524515,-0.22929652,-0.40458363,-0.27708018,-0.14077678,-0.056356087,-0.14113767,0.2483124,-0.18877791,-0.25013593,-0.05068817,0.10395082,-0.05969689,-0.38799787,0.2163798,-0.19663313,-0.513659,0.35269552,-0.41608343,0.16596995
f1_i3,0.20457713,-0.026627809,0.15789318,-0.23479815,-0.3148802,0.17557536,-0.36019948,-0.21835198,0.14882019,-0.17875986,0.12163268,-0.47421166,0.043178014,-0.16289361,0.20331724,-0.3877446,-0.17912748,0.24886373,0.33607185,0.16378953,-0.16697516,-0.2149012,-0.115232036,0.32336345,-0.26311272,0.5075739,0.22484587,0.21991818,0.19905287,0.2335831,0.129956,-0.31830728,0.47267866,0.29206654,0.36515602,0.34125805,-0.20327061,-0.01835907,0.15537362,-0.12808882,-0.17543511,0.25363663,0.2631542,-0.12932406,0.16229624,0.14941478,-0.6124186,-0.22769661,-0.18695532,0.38244173,-0.13112521,0.15278164,-0.02963191,0.30117625,-0.010883806,0.018650696,0.03345765,-0.16477862,-0.24729492,-0.1561479,0.0074138977,-0.013636899,-0.26800516,0.0066786166,-0.18828323,0.4911283,-0.3211557,-0.31331223,-0.054060593,0.13764597,0.27024645,0.20815466,0.104528,0.35643992,-0.28669837,-0.14151971,0.13920298,-0.12925862,-0.168425,0.060502212,-0.11949766,-0.29188514,-0.32927683,-0.19818634,-0.110877454,0.0893664,-0.21542576,0.47948602,-0.2465298,-0.17945419,-0.09686078,0.07765228,-0.26844493,-0.19278324,0.15429793,-0.21973817,-0.4723764,0.26949903,-0.21241343,0.055579156
f1_i4,0.28771213,0.07083586,0.05743392,-0.29942682,-0.40019408,0.17750713,-0.32289225,-0.17939731,0.22034003,-0.24929313,0.25553796,-0.38247803,0.051678658,-0.2409689,0.2155219,-0.33732077,-0.18309751,0.20770128,0.36380967,0.16719417,-0.1139252,-0.0008182918,-0.04475369,0.32080334,-0.19104514,0.440955,0.35014996,0.18196313,0.1737,0.14531651,0.13281499,-0.38737375,0.47318783,0.2817114,0.3991272,0.31177717,0.018549947,0.121388525,0.10163368,-0.20875452,-0.07639671,0.35947978,0.20028768,-0.18869422,0.17034058,0.20557396,-0.58481276,0.2656365,-0.15296774,0.22372878,-0.22169437,0.087170675,0.1520443,0.11095604,-0.016138243,0.083758414,-0.17247863,-0.22665474,-0.17084675,-0.08333882,0.06826423,-0.06465965,-0.32085273,-0.08575161,-0.18441941,0.5163526,-0.20629866,-0.0387275,-0.17756885,0.14359783,0.32685247,0.4019468,0.20236617,0.16961487,-0.18820323,0.19441493,0.28797153,-0.23215814,-0.2975081,0.0076509435,-0.106633045,-0.13549787,-0.2641395,-0.14396891,-0.27516007,-0.12123756,-0.1490074,0.32272524,-0.17666149,-0.5200968,-0.2643347,0.10152284,0.0071332855,-0.4688552,0.22479239,-0.18532105,-0.33173457,0.21889049,-0.16949023,0.27334738
f1_i5,0.1583375,-0.071556844,0.23509029,-0.2695007,-0.31373894,0.15349323,-0.26645058,-0.2725083,0.15143687,-0.20476063,0.27013913,-0.445961,-0.22064514,-0.25790498,0.13089944,-0.34395307,-0.31347877,0.32007363,0.2616374,0.010320845,-0.19773762,-0.28962594,0.20658286,0.10547889,-0.21912883,0.5073969,0.33560017,0.15069215,0.10969146,0.1302775,0.13170512,-0.47377774,0.46860185,0.2566021,0.39768425,0.22619574,-0.28705907,-0.11492849,0.1313432,-0.10325172,-0.1994824,0.3617179,0.26696366,-0.11353827,0.22554971,0.40805116,-0.42174053,0.046407927,-0.25518754,0.36890692,-0.27297834,0.26447514,0.31504595,0.08298076,0.04193899,0.07099321,-0.18463974,-0.16610824,-0.085492104,-0.19925831,0.12369167,-0.13269497,-0.27476737,-0.21746874,-0.215345,0.63944656,-0.22443044,-0.12487667,-0.22634695,0.075854465,0.14853628,0.08568644,0.1753646,-0.29855478,-0.19967858,0.12815413,0.20805256,-0.15888588,-0.22545046,0.11852597,-0.21629855,-0.16764535,-0.13234895,-0.26646137,-0.15169354,-0.10712846,-0.059721775,0.24006858,-0.27951854,-0.472062,-0.18352212,0.098929994,-0.04885121,-0.3674555,0.20853953,-0.18454191,-0.48739904,0.19545448,-0.08123866,0.22038054
f2_i1,0.2539094,-0.10333047,0.20898351,-0.26514322,-0.0536559,0.10298109,-0.2556319,-0.28226554,0.15261589,-0.12135733,0.28829753,-0.28052312,0.35605645,-0.3337218,0.07375766,-0.0947572,-0.11079686,0.29682994,0.026372403,0.3008365,-0.27103212,-0.01975017,-0.16789892,0.17142238,-0.24710904,0.30340645,0.10990022,0.20211563,0.36856994,0.11111312,0.27739465,-0.3067497,-0.0630786,-0.009949411,0.33046773,-0.015174842,-0.24684373,-0.2895103,0.23570281,-0.3512247,-0.09273326,0.35674742,0.33870357,-0.027398016,0.14345992,-0.14623074,0.24282989,0.26977205,-0.29764184,0.41969785,-0.26447788,0.2564632,-0.07759951,0.2937163,0.36513868,0.28611144,-0.25749382,-0.22378458,-0.3267906,0.0898514,0.12868117,0.23467717,-0.29965046,0.04814721,-0.3390238,-0.46859688,-0.2595354,0.13756861,-0.046935234,0.19325978,0.2597343,0.16086257,-0.124824345,-0.2667479,-0.22795187,0.24337907,0.25664625,-0.20554654,-0.23687445,0.30097726,-0.4155582,-0.19428177,-0.11225976,-0.21538961,0.25315413,-0.118786946,-0.22826226,0.005209853,-0.24552636,-0.31256053,-0.14993532,0.083122276,0.13152547,0.2618274,0.13713817,-0.18888743,-0.10600365,0.18897423,0.13055001,0.22598761
f2_i2,0.17627366,-0.26801074,-0.0044359723,-0.16976312,-0.16640931,0.20027746,-0.15342368,-0.19615847,0.470197,-0.11696751,0.14444499,-0.24273413,0.28859913,-0.3152075,0.24390334,-0.11163834,-0.3220653,0.30728433,-0.21824855,0.23447168,-0.19518648,-0.08426536,0.09935705,0.21069846,-0.27297437,0.115789466,0.25833583,0.045852195,0.19581623,0.20432393,0.10259164,-0.41008914,-0.028873757,0.2772921,0.064035736,0.46085483,-0.5235142,0.50799215,0.011444215,-0.28772393,-0.28497532,0.4144382,0.21666537,-0.08654275,0.13019335,0.11850438,0.20593776,0.13605009,-0.387531,0.09936151,-0.12873489,0.119552456,0.17562608,0.21144232,0.16055153,0.31443197,-0.11949712,-0.09692898,-0.15595186,-0.67629117,0.21421231,0.30772445,-0.3358754,0.049709294,-0.20710853,-0.3534939,-0.038838554,-0.09397469,-0.21963757,0.17046186,0.10320929,0.22889997,0.44910765,-0.40881744,-0.19963916,0.14957121,0.18627818,-0.25693586,-0.21029352,0.3263602,-0.21145695,-0.00079021143,-0.18827353,-0.14412883,0.30336395,-0.32873732,-0.2856356,0.44497308,-0.2969421,-0.44690567,0.058721345,0.10828109,0.22242667,0.3841861,0.3218083,-0.3158288,-0.043284725,0.3271165,-0.08039806,0.23131372
f2_i3,0.15295322,-0.070724465,0.37858614,-0.32909548,-0.21127303,0.11969201,-0.28372768,-0.06196131,0.27939206,-0.25824144,0.1673177,-0.325073,0.25024828,-0.22420803,0.115844406,-0.21473932,-0.2637605,0.28041288,0.31611067,0.24491958,-0.20580263,-0.1795527,-0.41888738,0.3062511,-0.23595619,-0.10264147,0.13605599,0.09127316,0.29046062,0.25663662,0.21557118,-0.14744167,0.031903036,0.13454162,0.09246554,0.20596713,0.20611486,-0.46449682,0.26874343,-0.17465346,-0.24696852,0.35758442,0.1641195,-0.3296349,0.10669476,0.30955258,0.16751564,0.31001833,-0.21897087,0.20706195,-0.17672324,0.34459314,-0.023567434,-0.0689668,0.103861354,0.32251614,-0.16663866,-0.31127068,-0.2087086,0.3820921,0.30602077,0.2835461,-0.16090663,-0.39840198,-0.24492949,-0.27689648,-0.12094578,-0.21698178,-0.19377214,0.1013035,0.26554957,0.4020039,-0.11063856,-0.31138778,-0.2622303,0.3028846,0.16265035,-0.2995223,-0.22380003,-0.03714337,-0.1624518,-0.33638334,-0.22219044,-0.22563805,0.12897035,-0.23123346,-0.36588657,0.024722785,-0.1730065,-0.050801344,-0.19401146,0.09241926,0.057925,-0.22658697,0.26631892,-0.18079317,-0.030937377,-0.0026910685,0.28125328,0.15861505
f2_i4,0.13142417,-0.130922,0.59710395,-0.04515328,-0.18475679,0.06653534,-0.22964367,-0.29376045,0.26835737,-0.30720687,0.32872513,-0.17015424,0.1868079,-0.2979684,0.12632196,-0.3224995,-0.17969391,0.21028201,0.55955195,-0.15083784,-0.22090589,-0.15120794,-0.3018042,0.24358676,-0.15971255,-0.04388158,-0.012597055,0.009887423,0.24976183,0.15944389,0.3161751,-0.2787736,0.13721937,0.17258108,0.20092371,0.19200934,-0.5529706,-0.25952685,0.047774803,-0.11496871,-0.08532346,0.38585645,0.16932026,-0.2398071,0.24221341,0.11820671,0.32313707,-0.26784694,-0.41664225,0.18679093,-0.2257771,0.3045739,-0.13903044,0.36812964,0.29378358,0.09362559,-0.322272,-0.07073171,-0.30439335,0.53085786,0.03032809,0.3212848,-0.14967081,-0.518275,-0.2951342,0.05050717,-0.3217354,0.07861953,-0.27413994,0.44514373,0.10646529,0.271675,0.09422852,-0.13894698,-0.22984591,0.45285243,0.2026797,-0.117281914,-0.23458411,0.09812569,-0.007566106,-0.24066499,-0.4514353,-0.18182807,0.3568809,-0.16653144,-0.11492215,0.017888108,-0.28353485,-0.08193763,-0.39710712,0.39254996,0.10105413,0.44016564,0.21542749,-0.14963436,-0.09893007,0.28756306,0.037039068,0.27118817
f2_i5,0.3789849,-0.3095636,0.50708,-0.19416356,-0.07802584,0.16474384,-0.103814095,-0.17573364,0.261837,-0.09493531,0.18100783,-0.39222217,0.10183882,-0.2700434,0.21318384,-0.227139,-0.22768766,0.24478373,0.16508825,0.4163465,-0.12248142,-0.20315933,-0.5793943,0.19510092,-0.21544737,0.2801879,0.36006546,0.196802,0.11483371,0.17246073,0.4002614,-0.24970408,0.021490125,0.23574273,0.14173019,0.22122687,0.15013991,-0.043676402,0.1322709,-0.16334027,-0.17074881,0.07621429,0.09720953,-0.13999966,0.1321735,0.20581716,0.34515902,0.23108566,-0.14621037,0.49733904,-0.15190221,0.19789599,0.25442663,0.23033693,0.22959557,0.12448496,-0.2434276,-0.19441111,0.011886828,-0.42690206,0.36998004,0.21806785,-0.25237906,-0.30213565,-0.18554842,-0.08320416,-0.098796956,0.27626112,-0.30133864,0.008527322,0.1692088,0.11765328,-0.1940374,-0.2637818,-0.2251188,0.20720385,0.09166962,-0.1447149,-0.06329323,0.24863884,0.23165435,-0.24208744,-0.30541283,-0.1254678,0.24617119,-0.15377505,-0.3110956,0.16585809,-0.12052273,0.09836464,-0.2790492,0.30069584,-0.04647957,-0.14023237,0.05413169,-0.20152773,0.30903623,0.042393178,0.16373439,0.0058639464
